〒	(ゆうびん)
辨	(ベン)(ヘン)〜(わきま・える)(わ・ける)(はなびら)(あらそ・う)
辧	(ベン)(ヘン)〜(わきま・える)(わ・ける)(はなびら)(あらそ・う)
辮	(ベン)(ヘン)〜(あ・む)
辯	(ベン)(ヘン)〜(わきま・える)(わ・ける)(はなびら)(あらそ・う)
變	{變}変。(ヘン)〜(か・わる)(か・える)
髟	(ヒュウ)(ヒョウ)〜(かみがしら)(かみかんむり)
彪	(ヒョウ)(ヒュウ)〜(あや)(たけし)(たけ)(あきら)(かおる)(たけき)(つよし)(とら)『ヒウ『ヘウ
標	(ヒョウ)〜(しるべ)(しるし)(しべ)『しめ『しるす『ヘウ
膘	ほばら
驃	(ヒョウ)
飆	(ヒョウ)〜(つむじかぜ)
鑣	くつばみ『くつわ
驫	(ショウ)〜(とどろ)
表	(ヒョウ)〜(おもて)(おもて)(あらわ・す)(あらわ・れる)(あら・わす)『ヘウ
表裳	うは『うわも
俵	(ヒョウ)〜(たわら)『たはら『びょう『ぴょう『ヘウ『ベウ『ペウ
鰾	(ヒョウ)〜(ふえ)(うきぶくろ)『ほばら
鱉	{鱉}鼈。すっぽん『べつ
鼈	{鱉}鼈。(ベツ)(ヘツ)〜(すっぽん)
別	(ベツ)〜(わか・れる)(わ・ける)(べっ)『ベチ『わかつ『わけ
彬	(ヒン)(フン)〜(うるわ・しい)(あき・らか)(あきら)(あき)(よし)
斌	(ヒン)(フン)〜(うるわ・しい)(あき・らか)(たけ)
賓	〔賓〕賓。(ヒン・・)〜(・・・)『まらうど『まらひと『まれびと『まろうど
濱	〔濱〕浜。(ヒン)〜(はま)
檳	(ビン)(ヒン)
瀕	(ヒン)〜(ほとり)
繽	(ヒン)〜(おおし)
髩	たぼ『つと
擯	(ヒン)〜(しりぞ・ける)
殯	(ヒン)〜(かりもがり)『あらき『もがり
鬢	(ビン)(ヒン)
氷	{冰}氷。(ヒョウ)〜(こおり)(ひ)(こお・る)(すい)『こほり『つらら
氷柱	{冰柱}氷柱。つらら
冰	{冰}氷。(ヒョウ)〜(こおり)(ひ)(こお・る)『こほり『つらら
冰柱	{冰柱}氷柱。つらら
兵	(ヘイ)(ヒョウ)〜(つわもの)(へ)『いくさ『つは『ヒャウ『ヒヤウ
梹	(ヒン)
鋲	(びょう)『ビヤウ
丙	(ヘイ)〜(ひのえ)
秉	(ヘイ)〜(と・る)
柄	(ヘイ)〜(がら)(え)(つか)(から)(ら)『つく
柄杓	ひさく『ひしゃく
炳	(ヘイ)〜(あきらか)
禀	(リン)(ヒン)〜(こめぐら)
稟	(リン)(ヒン)〜(こめぐら)
鞆	(とも)『ほむた
餅	〔餠〕餅。(ヘイ)(ヒョウ)〜(もち)(もちい)『もちひ
餠	〔餠〕餅。(ヘイ)(ヒョウ)〜(もち)(もちい)
并	(ヘイ)(ヒョウ)〜(あわ・せる)(なら・ぶ)
併	{並}併。(ヘイ)〜(あわ・せる)『しかし『ならぶ『ならべる
並	{並}併。(ヘイ)(ホウ)〜(な・み)(なら・べる)(なら・ぶ)(なら・びに)(なび)『あわせる『しかし
垪	(ハ)
倂	{並}倂。あわせる『ヘイ
病	(ビョウ)(ヘイ)〜(や・む)(や・み)(やまい)『いたずき『いたつき『いたづき『ビャウ『やまひ
竝	〔竝〕並。(ヘイ)(ホウ)〜(な・み)(なら・べる)(なら・ぶ)(なら・びに)
癶	(ハツ)〜(はつがしら)
波	(ハ)〜(なみ)(ひら)(みな)(みなみ)(わ)
玻	(ハ)
剥	{剝}剥。(ハク)(ホク)〜(へ・ぐ)(へず・る)(む・く)(む・ける)(は・がれる)(は・ぐ)(は・げる)(は・がす)
剝	{剝}剥。はがす『はがれる『ハク『はぐ『はげる『むく『むける
菠	(ハ)(ホ)〜(ほうれんそう)
缽	{缽}鉢。ハチ『ハツ
鉢	{缽}鉢。(ハチ)(ハツ)
碆	(ハ)
播	(ハ)(バン)(ハン)〜(ま・く)(はり)
撥	(ハツ)(バチ)〜(は・ねる)(おさ・める)
伯	(ハク)〜(いき)(えき)(か)(き)(は)(ひろ)『かみ
帛	(ハク)〜(きぬ)
狛	(ハク)〜(こま)
泊	(ハク)〜(と・まる)(と・める)(とまり)(はつ)
勃	(ボツ)(ホツ)〜(おこ・る)(にわかに)
秡	(ハツ)(バチ)〜(はらい)
亳	(ハク)
舶	(ハク)
博	(ハク)(バク・)〜(ぐれ)(と)(はか)(ひろ・)『ひろい
渤	(ボツ)(ホツ)
搏	(ハク)〜(う・つ)(と・る)
鈸	はち
愽	(タン)
駁	{駁}駮。(ハク)(バク)〜(ぶち)(まじ・る)(まだら)
箔	(ハク)〜(すだれ)
膊	(ハク)〜(ほじし)
駮	{駁}駮。(カク)(ハク)〜(ぶち)(まだら)
鎛	さいずえ『さひづゑ
跛	(ハ)(ヒ)〜(びっこ)(ちんば)『あしなえ『なへ
檗	(ハク)(ビャク)〜(きはだ)(きわだ)
擘	(ハク)(ヒャク)(ヘキ)〜(さ・く)
簸	(ハ)〜(ひ・る)
蘗	(ハク)(ビャク)〜(きはだ)(きわだ)
卜	(ボク)〜(うらな・う)(うらない)(うら)(ぼくのと)
蔔	(フク)(ホク)
逋	(ホ)(フ)〜(のが・れる)
捕	(ホ)〜(と・らえる)(と・らわれる)(と・る)(とら・える)(とら・われる)(つか・まえる)(つか・まる)『ブ
哺	(ホ)〜(はぐく・む)(ふく・む)
補	(ホ)〜(おぎな・う)『フ
不	(フ)(ブ)『ず
