〒	(ゆうびん)
氓	(ボウ)〜(たみ)
茫	(ボウ)〜(とお・い)『バウ
厖	(ボウ)〜(おおき・い)
鋩	(ボウ)〜(ほこさき)(きっさき)
莽	(ボウ)(モウ)〜(くさ)『バウ『マウ
蟒	(ボウ)(モウ)〜(うわばみ)(おろち)
蠎	(ボウ)(モウ)〜(うわばみ)(おろち)
猫	{貓}猫。(ビョウ)〜(ねこ)『ベウ『ミョウ『メウ
貓	{貓}猫。ねこ『ビョウ『ベウ『ミョウ『メウ
毛	(モウ)〜(け)(めん)(も)
矛	(ム)(ボウ)〜(ほこ)
茆	(エン)(ボウ)〜(その)(かや)(ぬなわ)
茅	(ボウ)(ミョウ)〜(かや)(ちがや)(ち)(じ)『バウ
茅萱	ちがや
旄	(ボウ)(モウ)
髦	(ボウ)(モウ)〜(たれがみ)
錨	(ビョウ)(ミョウ)〜(いかり)『ベウ
卯	(ボウ)(モウ)〜(う)(あきら)(しげる)(い)『バウ
夘	(ボウ)〜(う)
昴	(コウ)(ボウ)〜(すばる)『バウ
鉚	(リュ)〜(よいかね)
皃	(ボウ)(バク)〜(かたち)(かたどる)
茂	(モ)〜(しげ・る)(うむさ)(き)(し)(つとむ)(む)(もて)
冒	(ボウ)〜(おか・す)
耄	(ボウ)(モウ)〜(おいぼ・れる)
袤	(ボウ)〜(ながさ)
帽	(ボウ)(モウ)〜(ずきん)(おお・う)
貿	(ボウ)
瑁	(マイ)(バイ)(ボウ)(モウ)
楙	(ボウ)〜(しげる)
獏	{貘}獏。(バク)(ミャク)
貌	(ボウ)(バク)〜(かたち)(かたどる)『バウ
懋	(ボウ)〜(し・げる)(つと・める)
麼	(ビ)(ミ)(バ)(マ)(モ)
沒	{沒}没。(ボツ)(モツ)〜(おぼ・れる)(しず・む)(ない)
没	{沒}没。(ボツ)(モツ)〜(おぼ・れる)(しず・む)(ない)
苺	{莓}苺。(バイ)(マイ)〜(いちご)
枚	(マイ)(バイ・・)〜(ひら・・)『びら
栂	{梅}栂。(つが)(とが)
眉	(ビ)(ミ)〜(まゆ)『まみ『まみえ『まよ
莓	{莓}苺。(バイ)(マイ)〜(いちご)
梅	{梅}栂。(バイ)〜(うめ)『つが『とが『むめ
梅花皮	かいらぎ
嵋	(ビ)
媒	(バイ)『なこうど
媒鳥	おとり『を
楳	(バイ)〜(うめ)
煤	(バイ)(マイ)〜(すす)
霉	{霉}黴。かび『かびる『バイ
黴	{霉}黴。(バイ)(ビ)(マイ)(ミ)〜(かび)(か・びる)
毎	{每}毎。(マイ)〜(ごと)(ごと・に)(つね)
每	{每}毎。ごと『マイ
美	(ビ)(ミ)〜(うつく・しい)(はる)(よし)(よしみ)(り)
躾	(しつ・ける)(しつけ)
妹	(マイ)〜(いもうと)(す)(せ)(も)『いも『いもと
昧	(マイ)(バイ)〜(くら・い)(むさぼ・る)
袂	(ベイ)(ケツ)〜(たまと)(たもと)
眛	(マイ)(バイ)〜(くら・い)
寐	(ビ)〜(ね・る)
媚	(ビ)〜(こ・びる)(こび)
魅	(ミ)
椚	(くにぎ)(くぬぎ)
門	(モン)〜(かど)(と)(じょう)(も)
捫	(モン)〜(な・でる)
悶	(モン)〜(もだ・える)(もだえ・る)
懣	(マン)(モン)〜(もだ・える)
們	(モン)〜(ともがら)
虻	{虻}蝱。(ボウ)〜(あぶ)『あむ
萌	(ホウ)〜(も・える)(きざ・す)(めばえ)(きざ・し)(もえ)(きざし)『ハウ
萌やし	もやし
蒙	(モウ)(ボウ)〜(こうむ・る)(おお・う)(くら・い)
盟	(メイ)『ちかい『ちかう
甍	(ボウ)(ミョウ)〜(いらか)
儚	(ボウ)(モウ)〜(はかな・い)(くら・い)
蝱	{虻}蝱。あぶ
濛	(モウ)〜(こさめ)
檬	(モウ)
曚	(モウ)(ボウ)〜(くら・い)
朦	(モウ)(ボウ)〜(おぼろ)
矇	(モウ)(ボウ)〜(くら・い)(めし・い)
艨	(モウ)(ボウ)〜(いくさぶね)
猛	(モウ)〜(たけ)(たけし)(たける)『マウ
孟	(モウ)(ボウ)(ミョウ)〜(かしら)(たけし)(たけ)(はる)(はじめ)(つとむ)(おさ)(はい)『マウ
梦	(ム)(ボウ)〜(ゆめ)(ゆめ・みる)(くら・い)
夢	(ム)(ボウ)〜(ゆめ)(ゆめ・みる)(くら・い)『いめ
弥	{彌}弥。(ミ)(ビ)〜(いや)(や)(あまねし)(いよいよ)(とおい)(ひさし)(ひさ・しい)(わた・る)(わたる)(みつ)(ひろ)(よ)『いよ
迷	(メイ)〜(まよ・う)
祢	(ネ)(デイ)(ナイ)
袮	(デイ)(ネ)
謎	(メイ)(ベイ)〜(なぞ)『なぞ
糜	(ビ)〜(ただ・れる)
縻	(ビ)(ミ)〜(きずな)
麋	(ビ)〜(なれしか)
彌	{彌}弥。(ミ)(ビ)〜(いや)(や)(あまねし)(いよいよ)(とおい)(ひさし)(ひさ・しい)(わた・る)(ゆ)『いよ
禰	(ネ)(デイ)(ナイ)
靡	(ヒ)(ビ)(ミ)〜(なび・く)(ない)(わ・ける)
米	(ベイ)(マイ)(メエトル)〜(こめ)(よね)(は)(べ)(まべ)(め)(よ)(よな)(よの)(よま)『メートル『めめ
弭	(ビ)(ミ)〜(や・める)(や・む)(ゆは・ず)『はず
濔	(ビ)
瀰	(ビ)(ミ)
糸	〔絲〕糸。(シ)〜(いと)
汨	(コツ)(イツ)(ベキ)〜(しず・む)
泌	(ヒツ)(ヒ)『しみる
祕	〔祕〕秘。(ヒ)〜(ひ・める)(かく・す)
秘	〔祕〕秘。(ヒ)〜(ひ・める)(ひそ・か)(かく・す)
覓	(ベキ)(エキ)(ミャク)〜(もと・める)
密	(ミツ)〜(ひそ・か)『みそか
幎	(ベキ)〜(とばり)
蜜	(ミツ)(ビツ)『みち
樒	(ミツ)〜(しきみ)(じんこう)『しきび
冪	{冪}羃。(ベキ)
謐	(ヒツ)〜(しずか)
櫁	(ミツ)〜(しきみ)(じんこう)
羃	{冪}羃。(ベキ)
杣	(そま)
眠	(ミン)〜(ねむ・る)(ねむ・い)(ね)
棉	(メン)〜(わた)
綿	(メン)〜(わた)(う)
緜	(メン)〜(わた)(つら・なる)
免	〔免〕免。(メン)〜(まぬか・れる)(まぬが・れる)(め)
眄	(ベン)(メン)〜(かえり・みる)
俛	(フ)(ベン)(メン)〜(ふ・せる)
勉	〔勉〕勉。(ベン)〜(つと・める)(ひこ)(やつ)
娩	(ベン)『うむ
冕	(ベン)(メン)〜(かんむり)
湎	(メン)(ベン)〜(おぼ・れる)(しず・む)
緬	(メン)(ベン)
面	(メン)(ベン)〜(おも)(おもて)(つら)(お)(ずら)(ほおつき)(も)『づら『もて
面掛	おもがい
面皰	にきみ
面繋	おもがい
面懸	おもがい
麪	(メン)(ベン)〜(むぎこ)
麺	〔麵〕麺。(メン)(ベン)〜(むぎこ)
麵	〔麵〕麺。メン
苗	(ビョウ)(ミョウ)〜(なえ)(なわ)(ねい)(のら)(みう)(みつ)『なへ『ベウ『メウ
描	(ビョウ)〜(えが・く)(か・く)『ベウ
杪	(ビョウ)(ショウ)〜(こずえ)『すはえ『すわえ『ずゑ
眇	(ビョウ)(ミョウ)〜(びょう・たる)(すがめ)『ベウ
秒	(ビョウ)『ベウ
渺	(ビョウ)〜(びょう・たる)『ベウ
緲	(ビョウ)(ミョウ)
藐	(ビョウ)(バク)〜(かろ・んじる)(とお・い)
妙	(ミョウ)(ビョウ)〜(たえ)『たへ『ベウ『メウ
廟	(ビョウ)(ミョウ)〜(たまや)(みたまや)(やしろ)『ベウ
繆	(ビュウ)(キュウ)(ボク)(リョウ)〜(あやま・る)(まと・う)(こら)
滅	(メツ)〜(ほろ・びる)(ほろ・ぶ)(ほろ・ぼす)
蔑	(ベツ)〜(ないがしろ)(なみ・する)(くらい)(さげす・む)
民	(ミン)〜(たみ)(ひと)(み)
旻	(ビン)(ミン)〜(あきぞら)
岷	(ビン)(ミン)
罠	(ビン)(ミン)〜(わな)(あみ)
緡	(ビン)(コン)(ミン)〜(さし)(つりいと)(なわ)(ぜにさし)
皿	(ベイ)〜(さら)
泯	(ビン)(ベン)(ミン)(メン)〜(ほろ・びる)
敏	〔敏〕敏。(ビン)〜(さとい)(さとし)(ちょう)(とし)(び)『とし
閔	(ビン)(ミン)〜(あわ・れむ)(うれ・える)
黽	(ボウ)(ビン)(ベン)(ミン)(メン)〜(あおが・える)(つと・める)
愍	(ビン)(ミン)〜(あわ・れむ)
閩	びん
憫	(ビン)(ミン)〜(あわれ・む)(うれ・える)
名	(メイ)(ミョウ)〜(な)(な)(と)『ミャウ
名吉	なよし
明	(メイ)(ミョウ)(ミン)〜(あ・かり)(あか・るい)(あか・るむ)(あか・らむ)(あき・らか)(あ・ける)(あ・け)(あ・く)(あ・くる)(あ・かす)(あきら)(あけ)(あす)(きら)(け)(さや)(さやか)(とし)(はる)(み)(め)『ミャウ
茗	(ミョウ)(メイ)〜(ちゃ)『ミャウ
冥	(メイ)(ミョウ)〜(くら・い)『ミャウ
溟	(メイ)〜(うみ)(くら・い)
榠	(ベイ)
暝	(メイ)(ミョウ)〜(くら・い)
鳴	(メイ)〜(な・く)(な・る)(な・らす)(なり)(なる)『ミャウ『ミョウ
銘	(メイ)〜(たか)(み)(め)
瞑	(メイ)(ベン)(ミョウ)(ミン)(メン)〜(めい・する)(つぶ・る)(つむ・る)(くら・い)
螟	(メイ)(ミョウ)〜(ずいむし)
酩	(メイ)〜(よう)
命	(メイ)(ミョウ)〜(いのち)『みこと『ミャウ
掵	(ハバ)
謬	(ビュウ)(ビョウ)(ミュウ)〜(あやま・る)『あやまり『ビウ
摸	(モ)(モウ)(バク)(ボ)(マク)
模	(モ)(ボ)〜(がみ)
膜	(マク)
摩	(マ)〜(ま・する)(さ・する)(す・る)『こする
橅	ぶな
磨	(マ)〜(みが・く)(す・る)(おさむ)『とぐ
糢	(ボ)(モ)〜(かた)(のっとる)
謨	(ボ)(モ)〜(はか・る)
魔	(マ)
抹	(マツ)
麿	(まろ)(ま)
末	(マツ)(バツ)〜(すえ)『うら『うれ『すゑ
茉	(マツ)(バツ)(マ)〜(み)
歿	(ボツ)〜(しぬ)
冐	(ボウ)〜(おか・す)
沫	(マツ)(バツ)〜(あわ)(しぶき)(つばき)
陌	(ハク)〜(まち)(みち)(はざ)
莫	(バク)(ボ)(マク)(モ)(ナイ)〜(くれ)(なか・れ)(なし)『まな
秣	(マツ)(バツ)〜(まぐさ)(まぐさかう)
貊	(ハク)(ミャク)〜(えびす)
貉	{貉}狢。(カク)(ハク)〜(むじな)『もじな
漠	(バク)
寞	(バク)(マク)〜(さび・しい)
靺	(マツ)(バツ)
黙	{默}黙。(モク)(ボク)〜(だま・る)(もだ・す)『もだ
墨	〔墨〕墨。(ボク)〜(すみ)(すの)
默	{默}黙。(ボク)(モク)〜(だ・まる)(もだ・す)『もだ
貘	{貘}獏。(バク)(ミャク)
驀	(バク)
牟	(ボウ)(ム)
牟礼	{牟禮}牟礼。むれ
牟禮	{牟禮}牟礼。むれ
桙	(ウ)〜(ほこ)
眸	(ボウ)(ム)〜(ひとみ)
鉾	(ボウ)(ム)〜(ほこ)
謀	(ボウ)(ム)〜(はか・る)(たばか・る)(はかりごと)
鴾	(ボウ)〜(とき)『つき
某	(ボウ)〜(それがし)(なにがし)『くれ『くれがし
嘸	(ブ)(ム)〜(さぞ)(さぞや)(さぞかし)
母	(ボ)〜(はは)(も)『あも『おも『かか『はわ
母衣	ほろ
牡	(ボ)(ボウ)〜(おす)(お)(おん)『をす
拇	(ボ)〜(おやゆび)
姆	(ボ)(モ)〜(うば)
畆	(ボウ)(ホ)(モ)(ム)〜(せ)(うね)
畝	(ボウ)(ホ)(モ)(ム)〜(せ)(うね)『うね
鉧	けら
木	(ボク)(モク)〜(き)(こ)(ぐ)(も)(もと)『け
木鋤	こすき
木叢	こむら
木槿	むくげ
木樵	きこり
木屑	こけら
目	(モク)(ボク)〜(め)(め)(ま)(さかん)(さがん)(さっか)(さつか)
凩	(こがらし)
沐	(モク)〜(もく・する)(あら・う)
苜	(モク)(ボク)
牧	(ボク)〜(まき)(ま)(まい)(もく)『うまき『むまき
募	(ボ)〜(つの・る)
墓	(ボ)〜(はか)
幕	(マク)(バク)
睦	(ボク)(モク)〜(むつ・まじい)(むつ・む)(むつ・ぶ)(むつ)(ちか)(よし)(あつ)(む)(むね)
慕	(ボ)〜(した・う)
暮	(ボ)〜(く・れる)(く・らす)(ぐらし)(ぐれ)(ぽ)
樢	(ト)(チョウ)〜(つた)
穆	(ボク)(モク)〜(やわ・らぐ)
拏	(ダ)(ナ)〜(つか・む)(ひ・く)
拿	(ダ)(ナ)〜(つか・む)(ひ・く)
雫	(ダ)〜(しずく)『しづく
那	(ナ)(ダ)〜(なに)(なんぞ)(いかん)(とも)(やす)『どの『どれ
吶	(トツ)〜(ども・る)
肭	(トツ)(ジク)
衲	(ドウ)(ノウ)〜(ころも)『ナフ
娜	(ダ)(ナ)
納	(ノウ)(ナッ)(ナ)(ナン)(トウ)〜(おさ・める)(おさ・める)(おさ・まる)(の)(ろ)『いれる『タフ『ナフ
捺	(ナツ)(ダツ)〜(さ・す)(お・す)
靹	(ケツ)
乃	(ナイ)(ダイ)(ノ)(アイ)〜(の)(すなわ・ち)(なんじ)(おさむ)(お)(のり)
乃公	おれ
廼	(ナイ)(ダイ)(ノ)(アイ)〜(すなわ・ち)(なんじ)
迺	(ナイ)(ダイ)(アイ)〜(の)(すなわ・ち)(なんじ)
奈	(ナ)(ナイ)(ダイ)〜(いかん)(からなし)『いかんぞ
耐	(タイ)〜(た・える)(たえ)
男	(ダン)(ナン)〜(おとこ)(お)(み)『おのこ『を『をと
男の子	おのこ『を
南	(ナン)(ナ)〜(みなみ)(なみ)(は)(みな)(みまみ)『みんなみ
娚	(ナン)〜(めおと)
遖	(あっぱれ)
喃	(ナン)〜(の・う)『なう
楠	(ナン)(ダン)(ゼン)(ネン)〜(くす)(くすのき)(くず)(な)
難	〔難〕難。(ナン)〜(かた・い)(がた・い)(むずか・しい)(むづか・しい)(むつか・しい)(にく・い)(な)(なに)
赧	(タン)〜(あから・める)
嚢	{囊}嚢。(ノウ)(ドウ)〜(ふくろ)『ナウ
囊	{囊}嚢。ナウ『ノウ『ふくろ
曩	(ノウ)(ドウ)〜(さき・に)『さき『ナウ
呶	(ド)(ドウ)〜(かまびす・しい)
撓	(トウ)(キョウ)(コウ)(ジョウ)〜(たわ・む)(しな・う)(しお・る)(たわ・める)(みだ・す)(みだ・れる)『しおり『しをり『タウ『ダウ『たお『たわ『たわわ『たを『ドウ『とおお『とをを
𩊱	しころ
鐃	(ドウ)(ニョウ)〜(どら)『ネウ
悩	〔惱〕悩。(ノウ)〜(なや・む)(なや・ます)(なや・ましい)(なやみ)『ナウ
脳	{腦}脳。(ノウ)(ドウ)〜(のうずる)『ナウ『なずき『なづき
惱	〔惱〕悩。(ノウ)〜(なや・む)(なや・ます)(なや・ましい)(なやみ)『ナウ
瑙	(ノウ)
腦	{腦}脳。(ノウ)(ドウ)〜(のうずる)『ナウ『なずき『なづき
嫐	(ドウ)(ジョウ)〜(なぶ・る)『うはなり『うわなり
碯	(ノウ)
閙	(ドウ)(トウ)〜(さわが・しい)
鬧	(トウ)(ドウ)〜(さわが・しい)
訥	(トツ)〜(ども・る)
餒	(ダイ)(イ)〜(う・える)
內	{內}内。うち『ダイ『ナイ
内	{內}内。(ナイ)(ダイ)〜(うち)(いと)(ただ)(ち)(のち)
嫩	(ドン)(ノン)〜(わか・い)
能	(ノウ)〜(よ・く)(たか)(の)(のり)(よし)『あたう『え『よくする
尼	(ニ)〜(あま)『ジ『ヂ
泥	{泥}埿。(デイ)(ナイ)(デ)(ニ)〜(どろ)(ひじ)『うき『こひじ『なずむ『ひじりこ『ひぢ『ひぢり
泥鰍	{泥鰍}泥鰌。どじょう『どぢやう
泥鰌	{泥鰍}泥鰌。どじょう『どぢやう
怩	(ジ)
籾	(もみ)
倪	(ゲイ)(ガイ)〜(きわ)
猊	(ゲイ)
埿	{泥}埿。うき『ひじ『ひぢ
貎	(ゲイ)
霓	(ゲイ)〜(にじ)
鯢	(ゲイ)〜(さんしょううお)
麑	(ゲイ)(ベイ)〜(こじか)(かのこ)
你	{你}儞。おれ
儞	{你}儞。おれ
擬	(ギ)〜(まが・い)(もど・き)『なぞらえる『はかる
昵	(ジツ)(ショク)〜(ちかづ・く)『ヂツ
逆	(ギャク)(ゲキ)〜(さか)(さか・さ)(さか・らう)
逆しま	さかしま
逆鉤	あぐ
匿	(トク)〜(かくま・う)『かくす
眤	(ケイ)(ダイ)〜(てい)(い)
睨	(ゲイ)〜(にら・む)(にら・み)『ねめる
溺	(デキ)(ジョウ)(ニョウ)〜(いばり)(おぼ・れる)
膩	(ジ)(ニ)〜(あぶら)(あぶらあか)
拈	(ネン)(セン)(デン)〜(ひね・る)
年	(ネン)〜(とし)(ね)『とせ
年魚	あゆ
鮎	{鯰}鮎。(デン)(ネン)〜(あゆ)(なまず)(あい)
鵇	とき
黏	(ネン)〜(ねば・り)(ねば・る)
鯰	{鯰}鮎。(ネン)〜(なまず)『あゆ『なまづ
捻	{捻}撚。(ネン)(ジョウ)〜(ね・じる)(ねじ・る)(ひね・くる)(ひね・る)『より『よる
輦	(レン)〜(たごし)(てぐるま)
撚	{捻}撚。(ネン)〜(よ・る)(よ・れる)(より)(ひね・る)
碾	(テン)〜(ひ・く)(う・す)
廿	(ジュウ)(ニュウ)〜(にじゅう)(はつ)『はたち
念	(ネン)『おもう
唸	(テン)〜(うな・る)(うなり)
娘	{娘}嬢。(ジョウ)〜(むすめ)(こ)『ヂャウ『ヂヤウ『むすめ
嬢	{娘}嬢。(ジョウ)〜(むすめ)『ヂャウ『ヂヤウ
醸	〔釀〕醸。(ジョウ)〜(かも・す)『ヂャウ
釀	〔釀〕醸。(ジョウ)〜(かも・す)『ヂャウ
鳥	(チョウ)〜(とり)(か)(と)(とっ)『テウ
鳥黐	とりもち
鳥栖	{鳥棲}鳥栖。とぐら
鳥棲	{鳥棲}鳥栖。とぐら
鳥臓	ももげ
鳥座	とぐら
嫋	(ジョウ)(ジャク)(デキ)〜(なよ・やかな)(しなや・か)(たお・やか)
蔦	(チョウ)〜(つた)(たつ)
嬲	(ドウ)(ジョウ)〜(なぶ・る)
尿	(ニョウ)『いばり『しい『しし『しと『ネウ『ばり『ゆばり『ゆまり
捏	(ネツ)(テツ)(ネチ)〜(こ・ねる)(ね・る)(つく・ねる)『デツ
涅	(ネツ)(デツ)〜(そ・める)『くり
噛	(コウ)(ゴウ)〜(か・む)(か・じる)
聶	(ショウ)(ジョウ)(ニョウ)〜(ささや・く)
蘖	(ゲツ)〜(ひこばえ)『もやし
齧	(ゲツ)(ケツ)〜(かじ・る)(か・む)
囁	(ショウ)〜(ささや・く)
囓	(ゲツ)(ケツ)〜(かじ・る)(か・む)
躡	(ジョウ)〜(ふ・む)
鑷	(セツ)(ジョウ)(ニョウ)〜(けぬき)(けぬ)
顳	(ショウ)
恁	(イン)(ジン)(ニン)
寧	(ネイ)〜(むし・ろ)(あき)(やす)(やすし)(よし)『ニャウ『ニョウ
凝	(ギョウ)〜(こ・る)(こ・らす)(こご・らす)(こご・らせる)(こご・る)
嚀	(ネイ)(ニョウ)
獰	(ドウ)(ネイ)〜(わる・い)『ダウ
檸	(ネイ)(ドウ)
聹	(ネイ)
佞	(ネイ)〜(おもね・る)(よこしま)
侫	(ネイ)〜(おもね・る)(よこしま)
濘	(ネイ)〜(ぬか・る)
牛	(ギュウ)〜(うし)(うじ)(ご)『ギウ
牛尾魚	こち
狃	(ジュウ)〜(な・れる)(なら・う)
忸	(ジク)(ジュウ)〜(はじ・る)
紐	(チュウ)(ジュウ)〜(ひも)『チウ『ヂウ『ひぼ
鈕	(チュウ)(ジュウ)〜(ぼたん)(つまみ)『チウ
拗	(オウ)(ヨウ)(イク)(ユウ)〜(ねじ・れる)(こじ・れる)(す・ねる)(ねじ・ける)『エウ『ねじる
農	(ノウ)〜(な)(の)(み)
儂	(ドウ)(ノウ)〜(わし)(かれ)
濃	(ノウ)〜(こ・い)(の)『こ
膿	(ノウ)(ドウ)〜(う・む)(うみ)
弄	(ロウ)(ル)〜(いじく・る)(ろう・する)(いじ・る)(ひねく・る)(たわむ・れる)(もてあそ・ぶ)
耨	(ドウ)(ジョク)(ヌ)(ジュク)〜(くさぎ・る)(くわ)(すき)
奴	(ド)〜(やつ)(やっこ)(ぬ)『しゃつ『つぶね『め『やつこ
孥	(ド)(ヌ)〜(つまこ)
駑	(ド)〜(にぶ・い)
努	(ド)〜(つと・める)『ゆめ
弩	(ド)〜(おおゆみ)(いしゆみ)
怒	(ド)(ヌ)〜(いか・る)(おこ・る)
暖	(ダン)(ノン)〜(あたた・か)(あたた・かい)(あたた・まる)(あたた・める)
虐	(ギャク)〜(しいた・げる)
瘧	(ギャク)(ガク)〜(おこり)『わらは『わらわやみ
梛	(ダ)(ナ)〜(なぎ)
儺	(ナ)(ダ)〜(おにやらい)
搦	(ジャク)(ジョク)(ダク)(ニャク)〜(から・める)(がら・み)
諾	(ダク)『う『うべ『うべなう『お『せ『むべ『を
懦	(ダ)(ジュ)(ゼン)〜(よわ・い)
糯	(ダ)(ナ)〜(もちごめ)『もち
女	(ジョ)(ニョ)(ニョウ)〜(おんな)(め)(おな)(た)(つき)(な)『おうな『おみな『ヂョ『ヂヨ『をうな『をみな『をんな
衂	(ジク)〜(はなぢ)
衄	(ジク)〜(はなぢ)
哦	(ガ)
欧	〔歐〕欧。(オウ)〜(うた・う)(は・く)(おお)(ひろ)
殴	〔毆〕殴。(オウ)〜(なぐ・る)
甌	(オオ)(オウ)〜(ほとぎ)(はち)(かめ)
歐	〔歐〕欧。(オウ)〜(うた・う)(は・く)
毆	〔毆〕殴。(オウ)(ク)〜(なぐ・る)(たた・く)
鴎	{鷗}鴎。(オウ)〜(かもめ)『かまめ
謳	(オウ)(ウ)〜(うた・う)
鷗	{鷗}鴎。かまめ『かもめ
偶	(グウ)〜(たま)『たまたま
嘔	(オウ)(ク)〜(は・く)(むかつ・く)(うた・う)
藕	(グウ)(グ)(ゴウ)〜(はすのね)
葩	(ハ)〜(はな)
葩煎	はぜ
杷	(ハ)〜(つか)(わ)
爬	(ハ)〜(か・く)
耙	(ハ)
琶	(ハ)(ベ)(ワ)
怕	(ハク)(ヒャク)(ハ)〜(かしわ)(おそ・れる)
袙	(バツ)(ハ)〜(あこめ)
拍	(ハク)(ヒョウ)『うつ『ヒャウ
俳	(ハイ)
排	(ハイ)〜(おし)
徘	(ハイ)〜(さまよ・う)
牌	(ハイ)〜(ぱい)(ふだ)
派	(ハ)
湃	(ハイ)
萠	(ホウ)〜(も・える)(きざ・す)(めばえ)(きざ・し)(めぐむ)
潘	(ハン)
攀	(ハン)〜(よ・じる)
爿	(ショウ)(ソウ)〜(しょうへん)
槃	(ハン)〜(たら・い)
磐	(バン)(ハン)〜(いわ)(いわお)(わ)『いは
盤	(バン)〜(ち)(わ)『さら
蹣	(マン)(ハン)〜(よろ・めく)
蟠	(ハン)〜(わだかま・る)(わらじむし)『バン
判	(ハン)(バン)〜(わか・る)
叛	(ハン)(ホン)〜(そむ・く)
畔	(ハン)〜(あぜ)(ぐろ)『くろ『ほとり
袢	(ハン)
滂	(ホウ)(ボウ)
彷	(ホウ)〜(さまよ・う)『ハウ
旁	(ボウ)(ホウ)〜(つくり)(かたがた)(かたわら)『バウ『はら
膀	(ボウ)(ホウ)『バウ
胖	(ハン)〜(ゆたか)(なお)(ひろ)
抛	{拋}抛。(ホウ)〜(なげう・つ)『ハウ
拋	{拋}抛。なげうつ『ハウ『ホウ
萢	(ヤチ)(ヤラ)
刨	{刨}鉋。かんな
垉	(ホウ)
咆	(ホウ)〜(ほ・える)
庖	(ホウ)〜(くりや)『ハウ
袍	(ホウ)〜(わたいれ)『ハウ
匏	(ホ)(ホウ)〜(ひさご)『ふくべ
蚫	(ホウ)〜(あわび)
鞄	(ハク)(ホウ)(ビョウ)〜(かばん)
泡	(ホウ)〜(あわ)『あぶく『ハウ
炮	{炮}砲。(ホウ)〜(あぶ・る)『ハウ
砲	{炮}砲。(ホウ)〜(づつ)『ハウ
疱	(ホウ)〜(もがさ)『ハウ
皰	(ホウ)(ビョウ)〜(にきび)
麭	(ホウ)〜(こなもち)
胚	(ハイ)〜(はらみ)(はら・む)
陪	(バイ)
培	(バイ)〜(つちか・う)
裴	(ハイ)(ヒ)(ベ)〜(たちもとお・る)
賠	(バイ)『つぐなう
沛	(ハイ)
帔	むし『むしのたれぎぬ
佩	(ハイ)〜(は・く)(お・びる)(おびだま)
珮	(ハイ)〜(おびだま)
配	(ハイ)〜(くば・る)
旆	(ハイ)〜(はた)
霈	(ハイ)〜(ひさめ)
轡	(ヒ)〜(くつわ)(たづな)
轡銜	くつばみ
噴	(フン)〜(ふ・く)
濆	(フン)(ホン)〜(ほとり)(わ・く)
盆	(ボン)『ぼに
怦	(ホウ)(ヒョウ)
烹	(ホウ)〜(に・る)『ハウ
弸	(ホウ)
朋	(ホウ)〜(とも)
堋	(ホウ)
彭	(ホウ)
棚	(ホウ)〜(たな)(だな)『たな
蓬	(ホウ)(ブ)〜(よもぎ)
硼	(ホウ)『ハウ
澎	(ホウ)(ヒョウ)
篷	(ホウ)〜(とま)
膨	(ボウ)〜(ふく・らむ)(ふく・れる)『バウ
鵬	(ホウ)〜(おおとり)
捧	(ホウ)〜(ささ・げる)
椪	(ポン)
碰	ポン
丕	(ヒ)〜(おお・きい)
批	(ヒ)
披	(ヒ)『ひらく
砒	(ヒ)(ヘイ)
紕	(ヒ)
劈	(ヘキ)(ヒャク)〜(つんざ・く)(さく)
霹	(ヘキ)(ヒャク)
皮	(ヒ)〜(かわ)(けがわ)『かは
枇	(ビ)(ヒ)
毘	(ヒ)(ビ)〜(たす・ける)
疲	(ヒ)〜(つか・れる)(づか・れ)(つか・らす)
豼	(ヒ)
琵	(ビ)(ヒ)
脾	(ヒ)
鈹	かは『かわ
貔	(ヒ)
羆	(ヒ)〜(ひぐま)(しぐま)『しくま
匹	(ヒツ)〜(ひき)『き『びき『ぴき『むら
痞	(ヒ)〜(つかえ)
癖	(ヘキ)〜(くせ)(くせ・に)
屁	(ヒ)〜(へ)(おなら)
睥	(ヘイ)〜(ながしめ)(み・る)
辟	{辟}闢。(ヘキ)(ヒ)〜(きみ)(ひら・く)(め・す)『ビャク
僻	(ヘキ)(ヒ)(ヘイ)〜(へき・する)(ひが・む)『ひが
甓	(ヘキ)(ビャク)〜(かわら)
譬	(ヒ)〜(たと・える)(たと・え)
闢	{辟}闢。(ヘキ)(ビャク)〜(ひら・く)
偏	(ヘン)〜(かたよ・る)『かたほ『ひとえに
篇	(ヘン)『ぺん
翩	(ヘン)〜(ひるが・える)
胼	(ヘン)
胼胝	たこ
諚	(ジョウ)『ヂヤウ
駢	(ヘン)〜(なら・ぶ)
諞	(ヘン)
片	(ヘン)〜(かた)(かた)『ひら『びら『ぺん『ペンス
片方	かたえ『へ
片秀	かたほ
騙	(ヘン)〜(かた・る)(だま・す)
剽	(ヒョウ)〜(おびや・かす)(さす)『ヘウ
漂	(ヒョウ)〜(ただよ・う)『ヘウ
縹	(ヒョウ)〜(はなだ)(はなだ・いろ)
飄	(ヒョウ)〜(ひるが・える)(つむじかぜ)『つむじ『ヘウ
飃	(ヒョウ)〜(ひるが・える)(つむじかぜ)
嫖	(ヒョウ)〜(かる・い)
瓢	(ヒョウ)〜(ひさご)(ふくべ)『ヘウ
殍	(ヒョウ)(フ)〜(うえじに)
票	(ヒョウ)『びょう『ぴょう『ヘウ『ベウ『ペウ
慓	(ヒョウ)
