過	EgOL_冎口辶〔CJK〕
阘	AmBoEv_门⺜羽〔CJK〕
𪧨	ABoEeXy_宀曰耳又〔ExtC〕
𦋂	AsBoFc_罒日寸〔ExtB〕
𡈁	AkBaGw_囗白王〔ExtB〕
𦋸	AsBoHiBoZ_罒日一日乚〔ExtB〕
𨵏	AmBoHiFc_門日一寸〔ExtB〕
䦔	AmBoHi_門日一〔ExtA〕
𦊥	AsBoHi_罒日一〔ExtB〕
䆨	AvBoHiNr_穴日一大〔ExtA〕
𤗱	ApBoHp_片日甫〔ExtB〕
𨵶	AmBoHiPkY_門日一勹〔ExtB〕
𡨗	ABaHz_宀白七〔ExtB〕
冥	ABoIv_冖日六〔CJK〕
覭	ABoIvEr_冖日六見〔CJK〕
䫤	ABoIvEye_冖日六頁〔ExtA〕
鼆	ABoIvKm_冖日六黽〔CJK〕
𤣘	ABoIvKqElBo_冖日六犭耂日〔ExtB〕
𧔲	ABoIvKcKc_冖日六虫虫〔ExtB〕
䒌	ABoIvRKb_冖日六⺈巴〔ExtA〕
鄍	ABoIvTe_冖日六阝〔CJK〕
㝠	ABoIv_宀日六〔ExtA〕
竅	AvBaIfXp_穴白方攵〔CJK〕
閺	AmBoIx_門日文〔CJK〕
覈	AxBaIfXp_覀白方攵〔CJK〕
𡫀	ABaIfXp_宀白方攵〔ExtB〕
𦋁	AsBoJg_罒日干〔ExtB〕
鷼	AmBoKi_門日鳥〔CJK〕
寔	ABoL_宀日疋〔CJK〕
𤗘	ApBoL_片日疋〔ExtB〕
𦋨	AsBoL_罒日疋〔ExtB〕
𥦽	AvBoL_日疋〔ExtB〕
𦋷	AsBoLeXp_罒日了攵〔ExtB〕
𡫎	ABaMuXp_宀白木攵〔ExtB〕
宴	ABoNv_宀日女〔CJK〕
𡪻	ABoNvCiO_宀日女十口〔ExtB〕
𠖇	ABoNr_冖日大〔ExtB〕
𥦏	AvBoNr_日大〔ExtB〕
𡩳	ABoNrTu_宀日大土〔ExtB〕
幂	ABoNrYj_冖日大巾〔CJK〕
间	AmBo_门日〔CJK〕
𠕌	ABo_冂日〔ExtB〕
𠕾	ABo_冖日〔ExtB〕
𧟹	AxBoOCi_襾日口十〔ExtB〕
𣅍	AkBo_囗日〔ExtB〕
𡧼	AvBo_穴日〔ExtB〕
𣆛	AxBo_覀日〔ExtB〕
牌	ApBaPCi_片白丿十〔CJK〕
𨵒	AmBoPCg_門日丿廾〔ExtB〕
𡇼	AkBoPkRnZ_囗曰勹人㇗〔ExtB〕
䦪	AmBoPkRnZ_門曰勹人㇗〔ExtA〕
𢡕	ApBoPkYQi_片日勹心〔ExtB〕
𩴦	AmBoQg_門日鬼〔ExtB〕
𢝮	AsBoQi_罒日心〔ExtB〕
𡈪	AkBoRYj_囗日⺈巾〔ExtB〕
𣌩	ABoRnZ_冂日人㇗〔ExtB〕
审	ABoS_宀日丨〔CJK〕
𨴁	AmBoS_門日丨〔ExtB〕
闎	AmBaSv_門白水〔CJK〕
冟	ABaUbi_冖白匕〔CJK〕
𠖆	ABoUbi_冖日匕〔ExtB〕
