過	EgOL_冎口辶〔CJK〕
𣉯	SvRjMuBo_氵亼木日〔ExtB〕
𪄫	SvRjMuKi_氵亼木鳥〔ExtB〕
𡍼	SbRjMuTu_冫亼木土〔ExtB〕
涂	SvRjMu_氵亼木〔CJK〕
凃	SbRjMu_冫亼木〔CJK〕
𣻠	SvRjMuUdu_氵亼木斗〔ExtB〕
𥂋	SvRjMuUm_氵亼木皿〔ExtB〕
㳜	SvRnMu_氵亻木〔ExtA〕
漵	SvRjMuXp_氵亼木攵〔CJK〕
潊	SvRjMuXp_氵亼木攴〔CJK〕
溆	SvRjMuXy_氵亼木又〔CJK〕
氼	SvRn_水人〔CJK〕
𣺈	SvRnNrHo_氵亻大可〔ExtB〕
汄	SvRn_氵人〔CJK〕
洽	SvRjO_氵亼口〔CJK〕
𤀉	SvRjOAKy_氵亼口冂〔ExtB〕
冾	SbRjO_冫亼口〔CJK〕
渰	SvRjOCg_氵亼口廾〔CJK〕
𢍡	SvRjOCg_氵亼口廾〔ExtB〕
潝	SvRjOEv_氵亼口羽〔CJK〕
𣹱	SvRjOEq_氵亼口欠〔ExtB〕
𪧸	SbRjOFc_冫亼口寸〔ExtC〕
𣼕	SvRjOIce_氵亼口〔ExtB〕
湺	SvRnOMu_氵亻口木〔CJK〕
𣓫	SbRjOMu_冫亼口木〔ExtB〕
瀲	SvRjOORnRnXp_氵亼口口人人攵〔CJK〕
𣼞	SvRnOOO_氵亻口口口〔ExtB〕
㶑	SvRjOORnRnEq_氵亼口口人人欠〔ExtA〕
澰	SvRjOORnRn_氵亼口口人人〔CJK〕
𣵿	SvRnOSp_氵亻口〔ExtB〕
𣶜	SvRnOSp_氵亻口巛〔ExtB〕
㳞	SvRnOS_氵亻口丨〔ExtA〕
㽏	SvRjOUga_氵亼口甘〔ExtA〕
𥁿	SbRjOUm_冫亼口皿〔ExtB〕
𪞡	SbRnQs_冫人示〔ExtC〕
𪶅	SvRnQs_氵人示〔ExtC〕
𣴾	SvRnQYe_氵亻也〔ExtB〕
溣	SvRnRjIce_氵亻亼〔CJK〕
瀸	SvRnRnJgeUh_氵人人戈韭〔CJK〕
𪶢	SvRnRjMu_氵亻亼木〔ExtC〕
𤁺	SvRnRnRnRnRnFFg_氵亻人人人人工〔ExtB〕
𣾨	SvRnRnSTcEmu_氵人人丨厂目〔ExtB〕
𣹶	SvRnRnTuL_氵人人土夊〔ExtB〕
𣴶	SvRnRnTu_氵人人土〔ExtB〕
𣴳	SvRnRnTu_水人人土〔ExtB〕
滌	SvRnSLMu_氵亻丨夂木〔CJK〕
𣵥	SvRSBo_氵⺈丨日〔ExtB〕
潋	SvRjSHiXp_氵亼⺍一攵〔CJK〕
滫	SvRnSLDv_氵亻丨夂⺝〔CJK〕
㶖	SvRnSLBw_氵亻丨夂黑〔ExtA〕
㶖	SvRnSLBw_氵亻丨夂黑〔兼容增补〕
𣺫	SvRnSLY_氵亻丨夂彡〔ExtB〕
洮	SvReSbSb_氵儿冫〔CJK〕
𣴝	SvReSbSb_水儿冫〔ExtB〕
𤂛	SvRnSWhKyD_氵亻丨业⺶㇏〔ExtB〕
滺	SvRnSXpQi_氵亻丨攵心〔CJK〕
𣼝	SvRnSXpMu_氵亻丨攴木〔ExtB〕
浟	SvRnSXp_氵亻丨攵〔CJK〕
澹	SvRTcVbIi_氵⺈厂八言〔CJK〕
𣳈	SvRnTs_氵亻山〔ExtB〕
𪶔	SvRnTuTu_氵亻土土〔ExtC〕
𣽃	SvRTcVbFgO_氵⺈厂八工口〔ExtB〕
洈	SvRTcZi_氵⺈厂⺋〔CJK〕
淊	SvRUj_氵⺈臼〔CJK〕
沎	SvRnUb_氵亻〔CJK〕
𠖸	SbRjUbi_冫亼〔ExtB〕
㓆	SbRnUbi_冫人匕〔ExtA〕
沦	SvRnUbi_氵人匕〔CJK〕
𣽌	SvRUjEq_氵⺈臼欠〔ExtB〕
𣷦	SvRuUi_氵入米〔ExtB〕
𣱸	SvRu_水入〔ExtB〕
𣱿	SvRu_氵入〔ExtB〕
𣲚	SvRnVe_氵亻二〔ExtB〕
𣵲	SvRnVbF_氵亻丷〔ExtB〕
濮	SvRnWhKyD_氵亻业⺶㇏〔CJK〕
沵	SvRWi_氵⺈小〔CJK〕
𣳅	SvRnWi_氵人小〔ExtB〕
浍	SvRnWv_氵人云〔CJK〕
浄	SvRXv_氵⺈〔CJK〕
𣷽	SvRnXjiAXy_氵亻冖又〔ExtB〕
𣺢	SvRnXpMu_氵亻攵木〔ExtB〕
洢	SvRnXjiP_氵亻丿〔CJK〕
㴔	SvRXjiQi_氵⺈彐心〔ExtA〕
净	SbRXv_冫⺈〔CJK〕
沴	SvRnY_氵人彡〔CJK〕
𤁶	SvRnYv_氵人〔ExtB〕
泠	SvRjZd_氵亽龴〔CJK〕
𪞘	SbRjZ_冫亽ヿ〔ExtC〕
𪞧	SbRjZdEd_冫亽龴歹〔ExtC〕
㵅	SvRjZGb_氵亽ヿ貝〔ExtA〕
沧	SvRnZi_氵人⺋〔CJK〕
冷	SvRjZi_氵亼ㄗ〔兼容文字〕
𪞠	SbRjZdLe_冫亽龴了〔ExtC〕
𪲜	SbRjZdMu_冫亽龴木〔ExtC〕
浛	SvRjZO_氵亽ヿ口〔CJK〕
淰	SvRjZQi_氵亽ヿ心〔CJK〕
𪞤	SbRjZQi_冫亽ヿ心〔ExtC〕
𢜅	SvRjZdQi_氵亼龴心〔ExtB〕
𨢯	SvRjZQiUy_氵亽ヿ心酉〔ExtB〕
𣶗	SvRjZSv_氵亽ヿ水〔ExtB〕
𣵂	SvRjZSv_氵亼乛水〔ExtB〕
𣻦	SvRjZUy_氵亼乛酉〔ExtB〕
汵	SvRjZ_氵亽ヿ〔CJK〕
𣸊	SvRjZWv_氵亽ヿ云〔ExtB〕
𣸮	SvRjZdWv_氵亼龴云〔ExtB〕
州	SpSp_川〔CJK〕
涾	SvSvBo_氵水日〔CJK〕
	SSb_丨〔私用区〕
	SbSb_冫〔私用区〕
㶂	SvSvBv_氵氵黄〔ExtA〕
濷	SvSvChUl_水氵廿㒳〔CJK〕
㵜	SvSvCiAKy_氵氵十冂〔ExtA〕
𠦂	SbSbCi_冫十〔ExtB〕
𤂒	SvSvChUl_氵水廿㒳〔ExtB〕
𠗢	SbSpDvJd_冫巛月刂〔ExtB〕
𣶄	SvSpDvJd_氵巛月刂〔ExtB〕
𣴖	SvSpDxi_氵巛夕〔ExtB〕
澬	SvSbEqGb_氵冫欠貝〔CJK〕
㳨	SvSpEd_氵巛歹〔ExtA〕
𪶻	SvSbEqDv_氵冫欠⺝〔ExtC〕
𣽪	SvSpEsEmu_氵巛目〔ExtB〕
𫞚	SvSbEqGb_氵冫欠贝〔ExtD〕
𣸟	SvSpEdJd_氵巛歹刂〔ExtB〕
𣶛	SvSvEq_氵水欠〔ExtB〕
𣶙	SvSvEq_水水欠〔ExtB〕
淄	SvSpGa_氵巛田〔CJK〕
𣺤	SvSpGaJd_氵巛田刂〔ExtB〕
漅	SvSpGaMu_氵巛田木〔CJK〕
湽	SvSpHiGa_氵巛一田〔CJK〕
𤀓	SvSvIi_氵水言〔ExtB〕
𠝃	SvSvJd_水水刂〔ExtB〕
𤁯	SvSpKsu_氵巛〔ExtB〕
𨑝	SSbL_丨辶〔ExtB〕
㵉	SvSvMuMu_氵氵木木〔ExtA〕
㵈	SvSvNvCiO_氵氵女十口〔ExtA〕
㳲	SvSvNrD_氵氵大丶〔ExtA〕
㴣	SvSvNrJg_氵氵大弓〔ExtA〕
㴺	SvSvNrRnRn_氵氵大人人〔ExtA〕
𣴘	SvSvNr_氵氵大〔ExtB〕
	SSbO_丨口〔私用区〕
𡿭	SpSp_巛巛〔ExtB〕
汌	SvSp_氵川〔CJK〕
㶃	SvSvQCxiHiWu_氵氵卌一灬〔ExtA〕
脊	SbSbRnDv_冫人⺝〔CJK〕
鶺	SbSbRnDvKi_冫人⺝鳥〔CJK〕
鹡	SbSbRnDvKi_冫人⺝鸟〔CJK〕
䰪	SbSbRnDvQg_冫人⺝鬼〔ExtA〕
	SbSbRn_冫人〔私用区〕
㴢	SvSvRnOS_氵氵亻口丨〔ExtA〕
洲	SvSpSp_氵川〔CJK〕
𣛁	SvSvSvMu_水水水木〔ExtB〕
㵘	SvSvSvSv_水水水水〔ExtA〕
𣾜	SvSvSvSv_氵水水水〔ExtB〕
淼	SvSvSv_水水水〔CJK〕
渁	SvSvSv_氵水水〔CJK〕
㴇	SvSvSv_水水水〔ExtA〕
灉	SvSpTyiKz_氵巛邑隹〔CJK〕
㶝	SvSvTaRnKzQi_氵氵广亻隹心〔ExtA〕
𣳺	SvSpTs_氵巛山〔ExtB〕
㴩	SvSpTyi_氵巛邑〔ExtA〕
溢	SvSvUm_氵皿〔CJK〕
𣹉	SvSvUm_氵水皿〔ExtB〕
冰	SbSv_冫水〔CJK〕
𣲂	SpSv_巛水〔ExtB〕
沝	SvSv_水水〔CJK〕
𣲙	SvSv_氵水〔ExtB〕
㶙	SvSvWuKsiCp_氵氵豕生〔ExtA〕
𣾙	SvSvWs_氵水〔ExtB〕
𣷜	SvSvXp_水水攵〔ExtB〕
𪵲	SvSZSZHi_氵丨ㄅ丨ㄅ一〔ExtC〕
法	SvTuGsi_氵土厶〔CJK〕
瀆	SvTiAsGb_氵士罒貝〔CJK〕
凟	SbTiAsGb_冫士罒貝〔CJK〕
瀫	SvTiAHiYsJx_氵士冖一糸殳〔CJK〕
瀔	SvTiAHiUhJx_氵士冖一禾殳〔CJK〕
𣵙	SvTsAp_氵山〔ExtB〕
漴	SvTsAQs_氵山宀示〔CJK〕
涜	SvTiARe_氵士冖儿〔CJK〕
潱	SvTiAUdo_氵士冖豆〔CJK〕
𣵻	SvTeAUbi_氵阝宀匕〔ExtB〕
濲	SvTiAUhJx_氵士冖禾殳〔CJK〕
𤅮	SvTiAUdoSbEqQi_氵士冖豆冫欠心〔ExtB〕
㲿	SvTa_氵广〔ExtA〕
源	SvTcBaWi_氵厂白小〔CJK〕
𣶎	SvTsBa_氵山白〔ExtB〕
𤁑	SvTsBoJpZ_氵山日戊〔ExtB〕
㴟	SvTcBoNz_氵厂日子〔ExtA〕
㳱	SvTeBo_氵阝日〔ExtA〕
𤄊	SvTcBwTu_氵厂黑土〔ExtB〕
潉	SvTsBoUbiUbi_氵山日匕〔CJK〕
瀇	SvTaBv_氵广黄〔CJK〕
𠘛	SbTaBv_冫广黃〔ExtB〕
𣸼	SvTcBoWi_氵厂日〔ExtB〕
𢢵	SvTcBaWiQi_氵厂白小心〔ExtB〕
渡	SvTaChXy_氵广廿又〔CJK〕
	STc_丨厂〔私用区〕
㵹	SvTsCBoNr_氵山艹日大〔ExtA〕
灃	SvTsCfCfUdo_氵山丰丰豆〔CJK〕
灩	SvTsCfCfUdoTuGsiUm_氵山丰丰豆土厶皿〔CJK〕
𤅿	SvTsCfCfUdoNrDUm_氵山丰丰豆大丶皿〔ExtB〕
灧	SvTsCfCfUdoRKb_氵山丰丰豆⺈巴〔CJK〕
𣸩	SvTcCiEmu_氵十目〔ExtB〕
𣾆	SvTaCFO_氵广⺿口〔ExtB〕
濿	SvTcCGaLa_氵厂艹田⽱〔CJK〕
𤄆	SvTcCGaLaFi_氵厂⺿田⽱力〔ExtB〕
𣷮	SvToCg_氵石廾〔ExtB〕
𠦖	STcCi_ツ厂十〔ExtB〕
𠦥	SbTdCi_冫十〔ExtB〕
𣳝	SvTaCi_氵广十〔ExtB〕
𠦭	SvTdCi_氵十〔ExtB〕
㵂	SvTaChWu_氵广廿灬〔ExtA〕
𪸁	SvTaChXyTuEp_氵广廿又土皮〔ExtC〕
漰	SvTsDvDv_氵山月月〔CJK〕
𣷪	SvTsDGw_氵山丶王〔ExtB〕
𣶝	SvTuDh_氵土且〔ExtB〕
𣳨	SvTd_氵〔ExtB〕
𣵒	SvTuD_氵土〔ExtB〕
湍	SvTsEh_氵山而〔CJK〕
𪖵	SpTyiEbi_巛邑鼻〔ExtB〕
𨞑	SpTyiEiKq_巛邑自犬〔ExtB〕
𩔪	SpTyiEye_巛邑頁〔ExtB〕
𣹵	SvTsEeZ_氵山耳㇗〔ExtB〕
泐	SvTeFi_氵阝力〔CJK〕
洔	SvTuFc_氵土寸〔CJK〕
厳	STcFgEeXp_ツ厂工耳攵〔CJK〕
瀡	SvTeFFgDvL_氵阝工⺝辶〔CJK〕
𣿂	SvTeFFgDv_氵阝工⺝〔ExtB〕
沥	SvTcFi_氵厂力〔CJK〕
湠	SvTsFWu_氵山火〔CJK〕
溘	SvTuGsiUm_氵土厶皿〔CJK〕
𤀢	SvTuGsiAvFg_氵土厶工〔ExtB〕
𦝎	SvTuGsiErr_氵土厶肉〔ExtB〕
𣽻	SvTeGaHiYi_氵阝田一〔ExtB〕
𧇦	SvTuGsiKhu_氵土厶虎〔ExtB〕
𣿃	SvTeGaLa_氵阝田⽱〔ExtB〕
𪶹	SvTaGrL_氵广壬廴〔ExtC〕
𪫚	SvTuGsiLciXv_氵土厶彳聿〔ExtC〕
𪶏	SvTuGsiRS_氵土厶⺈亅〔ExtC〕
瀍	SvTaGaTuVbTu_氵广田土八土〔CJK〕
湹	SvTcGaTu_氵厂田土〔CJK〕
𤁄	SvTcGaTuVbTu_氵厂田土八土〔ExtB〕
𤂠	SvTuGsiUmTuGsi_氵土厶皿土厶〔ExtB〕
𪶁	SvTsGw_氵山王〔ExtC〕
𪷁	SvTsGwXp_氵山王攵〔ExtC〕
溦	SvTsHiPpXp_氵山一几攵〔CJK〕
𪶾	SvTeHiARnZ_氵阝一冂人㇗〔ExtC〕
𣶊	SvTeHiBa_氵阝一白〔ExtB〕
澂	SvTsHiGwXp_氵山一王攵〔CJK〕
𪵱	SvTcHiJd_氵厂一〔ExtC〕
𣼀	SvTaHzLY_氵广七夊彡〔ExtB〕
洉	SvTcHiO_氵一口〔CJK〕
𣺣	SvTcHiOKb_氵一口巴〔ExtB〕
𣶰	SvTeHo_氵阝可〔ExtB〕
溮	SvTdHiYj_氵一巾〔CJK〕
𪵭	SvTcHiZyi_氵一乙〔ExtC〕
𤀆	SvTsIhIh_氵山立立〔ExtB〕
𣼯	SvTuIhO_氵土立口〔ExtB〕
𠘡	SbTaIaUh_冫广㐭禾〔ExtB〕
𤃢	SvTaIaUh_氵广㐭禾〔ExtB〕
𣳙	SvTcJg_氵厂干〔ExtB〕
𣴔	SvTaJg_氵广干〔ExtB〕
𣿄	SvTsJpHiLh_氵山戊一〔ExtB〕
𤁟	SvTiJgZHkO_氵士弓コ匚口〔ExtB〕
漼	SvTsKz_氵山隹〔CJK〕
𣴋	SvTcKb_氵巴〔ExtB〕
𢹭	SpTyiKzFs_巛邑隹手〔ExtB〕
𤫔	SpTyiKzGv_巛邑隹玉〔ExtB〕
㴲	SvTcKhu_氵虎〔ExtA〕
𪄉	SpTyiKi_巛邑鳥〔ExtB〕
澾	SvTuKyL_氵土羊辶〔CJK〕
𪷝	SvTcKlu_氵厂鹿〔ExtC〕
𣼳	SvTuKyPd_氵土丸〔ExtB〕
𤄁	SvTuKyPdKc_氵土丸虫〔ExtB〕
𤃲	SvTuKyPdYs_氵土丸糸〔ExtB〕
𣴇	SvTcKq_氵厂犬〔ExtB〕
𡓱	SpTyiKzTu_巛邑隹土〔ExtB〕
𦉥	SpTyiKzUf_巛邑隹缶〔ExtB〕
𩟷	SpTyiKzUs_巛邑隹〔ExtB〕
𣴿	SvTaKu_氵广牛〔ExtB〕
𤮲	SpTyiKzUw_巛邑隹瓦〔ExtB〕
涬	SvTuKy_氵土〔CJK〕
㓑	SbTuKy_冫土〔ExtA〕
㴳	SvTuKlY_氵土龙〔ExtA〕
𣸉	SvTuKy_氵土羊〔ExtB〕
㴳	SvTuKlY_氵土龙〔兼容增补〕
雝	SpTyiKz_巛邑隹〔CJK〕
凗	SbTsKz_冫山隹〔CJK〕
𣼭	SvTuKz_氵土隹〔ExtB〕
𪶫	SvTcKz_氵厂隹〔ExtC〕
漋	SvTeLHiCp_氵阝夂一生〔CJK〕
𣺿	SvTsLCf_氵山夂丰〔ExtB〕
𣹫	SvTaLc_氵广車〔ExtB〕
溄	SvTsLF_氵山夂〔CJK〕
𤃶	SvToLUdo_氵石癶豆〔ExtB〕
𣼼	SvTeMuBo_氵阝木日〔ExtB〕
𤁋	SvTcMuMuLh_氵厂木木止〔ExtB〕
𨝖	SpTyiMuRnRn_巛邑木人人〔ExtB〕
𣵄	SvTaMu_氵广木〔ExtB〕
𣸺	SvToMu_氵石木〔ExtB〕
𣷳	SvTaNsD_氵广氏丶〔ExtB〕
溒	SvTuOYi_氵土口〔CJK〕
𤁅	SvTiOAHgTu_氵士口冖土〔ExtB〕
㓈	SbTo_冫石〔ExtA〕
𤂌	SvTiOEye_氵士口頁〔ExtB〕
𣾓	SvTuOOYi_氵土口口〔ExtB〕
濻	SvTeOQGb_氵阝口丄貝〔CJK〕
沰	SvTo_氵石〔CJK〕
沯	SvTo_水石〔CJK〕
洁	SvTiO_氵士口〔CJK〕
𣳥	SvTaPHz_氵广丿七〔ExtB〕
𣵵	SvTsPx_氵山及〔ExtB〕
𤃕	SvTiPZjZHkOXy_氵士丿己コ匚口又〔ExtB〕
𣽟	SvTiQsEq_氵士示欠〔ExtB〕
𤀖	SvTsQg_氵山鬼〔ExtB〕
𣷀	SvTaQbuO_氵广⺊口〔ExtB〕
𠘞	SbTiQsXjiSv_冫士示氺〔ExtB〕
𤃀	SvTiQsXjiSv_氵士示氺〔ExtB〕
𣵺	SvTeQYe_氵阝也〔ExtB〕
涔	SvTsRjZ_氵山亽ヿ〔CJK〕
𣼍	SvTsRjIce_氵山亼〔ExtB〕
𣶟	SvTsRnIz_氵山人亡〔ExtB〕
𤂮	SvTcRnKi_氵厂亻鳥〔ExtB〕
㶐	SvTaRnKzQi_氵广亻隹心〔ExtA〕
凌	SbTuReL_冫土儿夊〔兼容文字〕
滁	SvTeRjMu_氵阝亼木〔CJK〕
㳁	SvTcRn_氵厂人〔ExtA〕
濇	SvTuRnRnAkO_氵土人人囗口〔CJK〕
𪶶	SvTaRnRnTu_氵广人人土〔ExtC〕
𣼩	SvTeRjZWv_氵阝亽ヿ云〔ExtB〕
汕	SvTs_氵山〔CJK〕
𣸐	SvToSv_水石水〔ExtB〕
澆	SvTuTuTuHiRe_氵土土土一儿〔CJK〕
湗	SvTuTuFc_氵土土寸〔CJK〕
𣿣	SvTuTuJdDUm_氵土土刀丶皿〔ExtB〕
𪶐	SvTsTcJg_氵山厂干〔ExtC〕
𣶥	SvTuTo_氵土石〔ExtB〕
𣷰	SvTsTo_氵山石〔ExtB〕
涯	SvTcTuTu_氵厂土土〔CJK〕
𤃋	SvTuTuTuGb_氵土土土貝〔ExtB〕
𤄮	SvTuTuTuHiReDxiDxi_氵土土土一儿夕夕〔ExtB〕
𪞭	SbTuTuTuHiRe_冫土土土一儿〔ExtC〕
𤃤	SvTuTuTuHiReL_氵土土土一儿辶〔ExtB〕
𣼤	SvTuTuTo_氵土土石〔ExtB〕
𤂬	SvToToTo_氵石石石〔ExtB〕
漄	SvTsTcTuTu_氵山厂土土〔CJK〕
𪞢	SbTcTuTu_冫厂土土〔ExtC〕
洼	SvTuTu_氵土土〔CJK〕
瀝	SvTcUhUhLh_氵厂禾禾止〔CJK〕
𪷲	SvTaUgaCvTu_氵广土〔ExtC〕
溰	SvTsUdo_氵山豆〔CJK〕
凒	SbTsUdo_冫山豆〔CJK〕
𪷏	SvTcUdoFc_氵厂豆寸〔ExtC〕
𣸡	SvTuUi_氵土米〔ExtB〕
𣾚	SvTsUdoPp_氵山豆几〔ExtB〕
𤅐	SvTsUdoTsUdo_氵山豆山豆〔ExtB〕
𣾂	SvTeUbiUbiBa_氵阝匕白〔ExtB〕
𤃝	SvTcUhUhBo_氵厂禾禾日〔ExtB〕
𠘟	SbTcUhUhLh_冫厂禾禾止〔ExtB〕
𤃉	SvTcUhUhQi_氵厂禾禾心〔ExtB〕
𤃹	SvTcUhUhTo_氵厂禾禾石〔ExtB〕
汢	SvTu_氵土〔CJK〕
坔	SvTu_水土〔CJK〕
𣸒	SvTcUx_氵厂辛〔ExtB〕
𪶱	SvTsUx_氵山辛〔ExtC〕
凌	SbTuVbL_冫土八夊〔CJK〕
𠗖	SbTv_冫谷〔ExtB〕
㵐	SvTcVhCEq_氵厂䒑欠〔ExtA〕
𣹨	SvTsVeCJd_氵山二刂〔ExtB〕
㴑	SvTaVhC_氵广䒑〔ExtA〕
𣶮	SvTcVhC_氵厂䒑〔ExtB〕
𣾶	SvTeVbKsi_氵阝丷豕〔ExtB〕
淩	SvTuVbL_氵土八夊〔CJK〕
𣵘	SvTsVeRe_氵山二儿〔ExtB〕
淕	SvTuVbTu_氵土八土〔CJK〕
𪷴	SvTuVbTuPdWu_氵土八土丸灬〔ExtC〕
㓐	SbTuVbTu_冫土八土〔ExtA〕
浴	SvTv_氵谷〔CJK〕
潂	SvTsVhWh_氵山䒑业〔CJK〕
濂	SvTaVhXjiWu_氵广䒑〔CJK〕
浾	SvTuWu_氵土〔CJK〕
𣹝	SvTeWiDv_氵阝⺌⺝〔ExtB〕
㴥	SvTsWiDv_氵山⺌⺝〔ExtA〕
𤄔	SvTsWiKzJge_氵山小隹戈〔ExtB〕
𠗇	SbTcWu_冫厂火〔ExtB〕
𣴽	SvTsWu_氵山火〔ExtB〕
𣽄	SvTcWuWuJd_氵厂火火刂〔ExtB〕
𣻪	SvTuWuXp_氵土攵〔ExtB〕
溏	SvTaXvO_氵广肀口〔CJK〕
𢀁	SpTcXyFXD_巛又乂丶〔ExtB〕
㶏	SvTeXzFgXjiQi_氵阝爫工彐心〔ExtA〕
𠘓	SbTeXpHiCp_冫阝攵一生〔ExtB〕
𠗶	SbTaXvO_冫广肀口〔ExtB〕
滽	SvTaXvPv_氵广肀〔CJK〕
𣷄	SvTaXjiRn_氵广⺕人〔ExtB〕
漮	SvTaXjiSv_氵广氺〔CJK〕
𣾩	SvTaXvUi_氵广肀米〔ExtB〕
𣽵	SvTsXyXyMuHi_氵山ㄡ木一〔ExtB〕
汳	SvTcXy_氵又〔CJK〕
𣳒	SvTsXy_氵山又〔ExtB〕
派	SvTcYi_氵〔CJK〕
𪵸	SvTuYe_氵土也〔ExtC〕
派	SvTcYi_氵〔兼容增补〕
𤅑	SvTuYiOOCjHi_氵土衣口口一〔ExtB〕
𪡤	SvTcYiO_氵口〔ExtC〕
邕	SpTyi_巛邑〔CJK〕
浥	SvTyi_氵邑〔CJK〕
𣾧	SvTsYaYaNz_氵山幺幺子〔ExtB〕
濤	SvTiZFgHiOFc_氵士乛工一口寸〔CJK〕
𤒵	SvTiZFgHiOFcWu_氵士乛工一口寸灬〔ExtB〕
𣲣	SvTcZi_氵⺋〔ExtB〕
𣲸	SvTsZn_氵山乃〔ExtB〕
酒	SvUy_氵酉〔CJK〕
蠲	SvUmAsPkKc_皿罒勹虫〔CJK〕
𠘋	SbUaa_冫鼎〔ExtB〕
㶘	SvUzuAxBoCi_氵⺮覀日十〔ExtA〕
㶕	SvUzuAmBo_氵⺮門日〔ExtA〕
𤄒	SvUzuAmDv_氵⺮門月〔ExtB〕
𧔈	SvUmAsKc_皿罒虫〔ExtB〕
𪷯	SvUiAQs_氵米宀示〔ExtC〕
濎	SvUaa_氵鼎〔CJK〕
𤅲	SvUzuBoNrKma_氵⺮日大馬〔ExtB〕
𤅦	SvUluBoOUS_氵鹵日口凵亅〔ExtB〕
㵺	SvUzuBaPCi_氵⺮白丿十〔ExtA〕
㴡	SvUb_氵香〔ExtA〕
淇	SvUgaCv_氵〔CJK〕
𤁏	SvUlCHiBo_氵耒艹一日〔ExtB〕
𤀬	SvUiCjHiNr_氵米一大〔ExtB〕
澌	SvUgaCvJn_氵斤〔CJK〕
𣴈	SvUbiCiJd_氵十刂〔ExtB〕
凘	SbUgaCvJn_冫斤〔CJK〕
𣻺	SvUgaCvTu_氵土〔ExtB〕
濝	SvUgaCvYs_氵糸〔CJK〕
湛	SvUgaCvZ_氵㇗〔CJK〕
𠗮	SbUgaCvZ_冫㇗〔ExtB〕
𪭕	SvUgaCvZJge_氵㇗戈〔ExtC〕
浢	SvUdo_氵豆〔CJK〕
𠗺	SbUhDxiDxi_冫禾夕夕〔ExtB〕
𣻗	SvUhDxiDxi_氵禾夕夕〔ExtB〕
㳆	SvUdu_氵斗〔ExtA〕
𨽋	SpUsDv_巛⺝〔ExtB〕
滗	SvUzuEm_氵⺮毛〔CJK〕
𤀤	SvUzuEmuCg_氵⺮目廾〔ExtB〕
𤄑	SvUzuEmuCgXp_氵⺮目廾攴〔ExtB〕
𤂳	SvUzuEmuNrGsi_氵⺮目大厶〔ExtB〕
𣣼	SvUmEq_皿欠〔ExtB〕
𤀔	SvUsEq_氵飠欠〔ExtB〕
䚊	SvUmEr_皿見〔ExtA〕
𤁾	SvUiEye_氵米頁〔ExtB〕
𩔱	SvUmEye_皿頁〔ExtB〕
𣻳	SvUbiEye_氵頁〔ExtB〕
𤃌	SvUdoEye_氵豆頁〔ExtB〕
滇	SvUbiEmuZVb_氵匕目㇗八〔兼容增补〕
湼	SvUjFg_氵臼工〔CJK〕
𡬸	SpUjFc_巛臼寸〔ExtB〕
㴻	SvUdoFc_氵豆寸〔ExtA〕
𪟢	SvUmFi_皿力〔ExtC〕
𣽆	SvUzuFgPd_氵⺮工凡〔ExtB〕
澨	SvUzuFgRnRn_氵⺮工人人〔CJK〕
𣳬	SvUf_氵缶〔ExtB〕
泔	SvUga_氵甘〔CJK〕
澑	SvUyGa_氵田〔CJK〕
瀵	SvUiGaCCv_氵米田艹〔CJK〕
𤀥	SvUzuGaC_氵⺮田丌〔ExtB〕
泒	SvUgu_氵瓜〔CJK〕
澙	SvUjHiZWu_氵臼一ㄅ灬〔CJK〕
𣵊	SvUHvLe_氵凵三了〔ExtB〕
𣲲	SvUh_氵禾〔ExtB〕
洣	SvUi_氵米〔CJK〕
𤂭	SvUyIRnRnCi_氵酉亠人人十〔ExtB〕
𤅃	SvUzuIvTcXjiWu_氵⺮厂〔ExtB〕
𤅰	SvUzuIv_氵⺮龠〔ExtB〕
凝	SbUbiJsiZdL_冫匕矢龴疋〔CJK〕
浰	SvUhJd_氵禾刂〔CJK〕
𤂄	SvUaaJd_氵鼎刂〔ExtB〕
𪶿	SvUbiJsiEq_氵矢欠〔ExtC〕
𤄉	SvUyJrJd_氵金刂〔ExtB〕
𣼖	SvUhJdMu_氵禾刂木〔ExtB〕
𤂱	SvUhJdRnSv_氵禾人氺〔ExtB〕
𤁈	SvUzuJr_氵⺮金〔ExtB〕
㳫	SvUj_水臼〔ExtA〕
𤁼	SvUbiJsiXyUi_氵矢又米〔ExtB〕
𣺲	SvUiJx_氵米殳〔ExtB〕
𠘤	SbUbiJsiZdLDSv_冫匕矢龴疋丶水〔ExtB〕
𤁒	SvUbiJsiZdL_氵匕矢龴疋〔ExtB〕
鷁	SvUmKi_皿鳥〔CJK〕
瀜	SvUliKc_氵鬲虫〔CJK〕
𤄹	SvUiKqEye_氵米犬頁〔ExtB〕
鹢	SvUmKi_皿鸟〔CJK〕
𩁌	SpUsKz_巛隹〔ExtB〕
滷	SvUlu_氵鹵〔CJK〕
滆	SvUli_氵鬲〔CJK〕
洡	SvUl_氵耒〔CJK〕
㴹	SvUiL_氵米辶〔ExtA〕
𣽐	SvUli_氵鬲〔ExtB〕
潾	SvUiLv_氵米舛〔CJK〕
𠘢	SbUluLz_冫鹵舟〔ExtB〕
𤃯	SvUluLz_氵鹵舟〔ExtB〕
益	SvUm_皿〔CJK〕
𣽤	SvUzuMuA_氵⺮木冂〔ExtB〕
𤁕	SvUxMuO_氵木口〔ExtB〕
湈	SvUgaMu_氵甘木〔CJK〕
