㙬	<垠>
㙮	{塔}
㙯	<藝>
㙱	<𡎪𧇼>
㙲	<壅>
㙵	<臺>
㙶	<堂>
㙷	<𡏀>
㙸	<墣>
㙹	<夢>
㙺	<逵馗>{匱}
㙻	<廛>
㙼	<壘>
㙾	<嶨>{礐}
㚀	<虧>「𡓰」
㚁	<翹>
㚃	<𡔫𡕂𡕃𡕈>{壹}
㚄	{疐}
㚆	<复>
㚇	<𡕰𦡙鍐>
㚈	<升>
㚉	<夃>
㚌	<夥>
㚎	<去>
㚐	<套>
㚑	<霛靈灵霊>
㚒	<𡙩>「-陜」
㚔	<幸>
㚕	<佛>_<𡗻𡘉>
㚖	<澤>
㚗	<𡘍>
㚘	<伴扶赫>
㚜	<域>
㚟	<㲋>
㚢	<侮奴>
㚣	<姣>
㚤	<弋>
㚥	{好}
㚦	<姬>
㚧	<嬐>
㚩	<姌>
㚪	<𩲊>
㚯	[㜄-㚯]
㚰	<胚>
㚳	<妿>
㚶	<姒姬>
㚷	<嬭>
㚸	<媤>
㚹	<媌懰>
㚺	<孕>
㚼	<妞>{好}
㛀	[媰-㛀]
㛂	<𡛖𡜮>_<𡛣>
㛆	<㛊>
㛊	<媣>_<㛆>
㛍	<𡞡愜>
㛎	<𡜅>
㛐	<嫂>
㛒	<䛠>
㛔	<妦>
㛕	<姶>
㛗	<𡟽>
㛙	<𨐎妾>
㛛	<娠>
㛝	[㛝-𫝦]
㛟	[𡞵-㛟]
㛠	[𡢃-㛠]
㛣	[㜏-㛣]
㛤	[孋-㛤]
㛩	<妯>
㛫	{婸}
㛮	<嫂>
㛯	<娩嬎>
㛰	<婚>
㛲	<髮>
㛴	<惱>
㛸	<𡣈>
㛽	<姍>
㛿	[𡠹-㛿]
㜄	[㜄-㚯]
㜅	<妶>
㜍	<𡠠>
㜏	[㜏-㛣]<妘>
㜐	[㜐-𫝧]
㜑	<婆>
㜕	<連>
㜗	<𡡖𡣏>_<𡞋>
㜘	<姐>
㜛	<媆>{嫩}
㜜	<傲>「慠」_<嫯>
㜝	<𨣻媕>「-儼」
㜞	<嬱>
㜢	[𡡎↝㜢-𡞱]
㜤	<𡤲>
㜧	<𡡕>
㜪	<嫀姺>{𡣎}
㜫	<媄>
㜮	<𡤱>
㜯	<娭>
㜱	「*質」
㜲	<嬴>
㜵	<㒟>{嬝}
㜷	[㜷-𡝠]<𡝡>
㜸	<孽>
㜺	<𡣶>
㜻	<孌>
㜼	<姪>
㜽	<子>
㜾	<孩>{孤}
㜿	{㐨}
㝀	<好>
㝁	<𢏔𡞦>
㝂	<𧏄>
㝃	<娩>
㝄	<純>
㝅	<𡔵𡭾啂𣫌>_<榖>
㝇	<鶉>
㝈	<孿>
㝊	<守>
㝌	<疚>
㝎	<定>{窆}
㝏	<介>
㝐	<容>
㝑	<旁>{房}
㝒	<居>
㝓	<䆟>
㝔	<宎𡧮𡨇穾𥤹>
㝕	<寧>
㝖	{宜}
㝗	<𥧫>_<䆡>
㝙	<寅>_<夤>
㝛	[㝛⇀宿]
㝜	<𡩤>
㝟	{寬}
㝠	[㝠𠖇⇀冥]
㝡	[㝡冣⇀最]
㝢	<宇>
㝣	<窫>
㝥	<𡬍>_<𡪘>
㝦	<寯>
㝧	<穩>
㝨	<圜>
㝩	<𡪼槺䆲>
㝪	<墊𡪐𡫑>
㝭	<醒>
㝮	<𥨒>
㝯	<僑>
㝰	<𡫛>
㝱	<夢>
㝲	<寢>
㝴	<刓>
㝵	<得礙>
㝶	<得>{㝵}
㝷	{尋}
㝸	<弁>
㝹	<䨲>
㝻	<僅>
㝾	<𡯛>
㝿	<跛>_<𤿑>
㞁	<𡯧𡯣𡰃>_<𡯱㞁>
㞂	<𡯵>
㞃	<𡯤>
㞆	<踦>
㞇	<𡯹𤺸𤻅>
㞊	<𥚋𡰇>
㞋	<𡰫>
㞌	<孕>
㞍	<尻>
㞏	<𡰹>
㞐	<居>
㞑	<尾>{屁}
㞒	<𠫍屓屭𡳻>
㞓	<𡱔>
㞔	<㢁>{㢋}
㞕	<屑>
㞖	<𡳠>{𡰾}
㞘	<䐁>{𡱂}「豚」
㞙	<尿>
㞛	<𡲏>{履}
㞜	<𡲾>{靴}
㞞	[㞞-𪨊]{屣}
㞟	「*墊-奠」
㞠	<屪>
㞡	<展>
㞢	<之>
㞣	「芬」_<𡵳>
㞤	<岑>
㞧	<會>
㞩	<嵐>
㞫	<走>
㞭	{青}
㞯	{屺}
㞴	<岷>{坻}
㞶	<岷>_<𡼐>
㞷	<𡴍>{封}
㞸	「歲」
㞹	<岢>
㞺	<族>
㞻	{崿峼}
㞼	<丞>
㞾	<尼>
㞿	<岐>
㟁	[㟁⇀岸]<𡶜>
㟅	<𡹕崸𡼔>
㟆	[㠏-㟆]
㟈	{崍}
㟎	<𡽃>
㟏	<㟔>
㟒	<峮𡸙>
㟔	<㟏>
㟗	<邠>
㟙	<𡽞>
㟚	<岐>
㟛	{嵌}
㟜	[𡾱-㟜]
㟝	<培>
㟞	<嶘>
㟟	<巷>
㟠	「岡」
㟢	<𥔎﨑埼崎碕嵜>
㟥	{嵾}
㟦	<𡽅>
㟧	<崿>
㟩	「岷」
㟪	<崴>
㟫	<𡺙泉>
㟭	<岷>_<𡼐>
㟯	<峉>
㟲	<㟶>
㟳	<𦞰>
㟴	<磈>_{嵬}
㟵	<岡>
㟶	<㟲>
㟸	<𡼗>
㟹	<𡼅>
㟺	[㟺-𪩇]<嶁>
㟻	<塹嶄>
㟼	<嶅>
㟽	<㠒磦>
㠀	[㠀⇀島]<嶋嶌嶹>
㠁	<嵾>
㠂	<嶅>
㠄	{嶍}
㠆	<𡼯>
㠋	<崿>
㠌	{嵌}
㠍	<崨㠎>
㠎	<㠍>
㠏	[㠏-㟆]
㠐	<嶠>
㠑	<𡽁𡽕>{嶵}
㠒	<㟽>
㠕	<嵬>
㠖	<嶬>
㠗	<嶴>
㠘	{嶼}
㠙	<崤>
㠚	<𡽵>
㠜	<嶷>
㠝	<巑>
㠢	<𡾝>
㠣	<𡾒>
㠥	<礧>
㠧	<𡻥𡿐>
㠩	{巟}
㠪	<巨>
㠭	<展>
㠮	<肛>
㠯	[㕥㠯⇀以]
㠱	<𢁂踑杞>
㠲	<𢁦>
㠴	<𢁯𢂻>
㠵	<𢂪𢂙>{𢂩}
㠶	[㠶⇀颿帆↛帆]
㠸	<衭>
㠹	<𢂵>
㠺	{紗}
㠻	<希>
㡁	<袔>
㡂	<𢂥>
㡃	<𢁣𢂩𢂾㡛>{㡆}_<𢂪𢂠𢂙>
㡄	<䘩>
㡅	<𢄴𣆚𠕝𠕰>
㡆	<㡃>
㡇	<袩𧚊襵>_<𢃣>
㡈	<冕絻>
㡉	<㭹𢮂>
㡊	<帢>
㡌	[㡌⇀帽]
㡎	{幓}
㡏	<緰䩱褕繻>
㡐	<𢃬>
㡑	<幧>
㡓	<𢃚裩褌>
㡕	<央>
㡖	<幢>
㡘	<𢅏>
㡚	<褠>
㡛	<㡃>{㡆}
㡟	<褿>
㡠	<幀>
㡡	<幮>
㡢	<幔>
㡣	<龍>
㡤	<幞>
㡥	<𧞎>
㡧	<幀>
㡨	<攕>
㡪	<𢅼>
㡫	「-䋵」_<𤣨>
㡭	<繼>
㡯	<度宅>
㡰	<宇>
㡱	<灸>
㡸	<厏>
㡻	<廖>
㡾	「限」
㡿	<斥>
㢁	<㢋㞔扅>
㢂	<㢈𢈹>
㢅	<弄>
㢆	<廛>
㢈	<㢂𢈹堆>
㢋	<㢁>
㢏	<庾逾>
㢐	<屙>_{㢌}
㢓	<障>{墇瘴}
㢕	<廱>
㢗	[㢗-𪪑]
㢘	[亷㢘⇀廉]
㢙	<廑>{僅}
㢚	<𢊔𢋡>
㢛	{*奩}
㢝	[㢝-𢋈]<𠫋>
㢞	<廙>
