驅	[駈⇀敺驅↛驅-驱]<駆𣦑毆𨒡䮃𩢧𩢩𩣕𩣌𩤀>_<𢿛>
驆	<蹕>
驇	「騺」
驈	<䮇>
驉	<𤡣>
驊	[驊-骅]<𩤉𩦰>
驋	[驋-𩧯]
驌	[驌-骕]
驍	[驍-骁]
驎	<䮼>
驏	[驏-骣]
驐	<鐓鐜>
驑	<騮>_<駵>
驒	<騨>
驓	[驓-𫘯]<蹭>
驔	<𩧤>
驕	[驕-骄]<駒嘐嬌憍䮦𩥊喬>_「-騷」
驖	<𩥏𩥳𩦷𩧀>
驗	[騐⇀驗-验]<験𩤼𩥾>
驘	[驘⇀騾]_<䯁𩦻𩧣>
驙	[驙-𫘰]<𩥇>
驚	[驚-惊]「-警」_<悢>
驛	[驛-驿]<駅墿𩦯繹譯圛>
驝	<馲>_<𤜤𩢵𩧐>
驟	[驟-骤]<駎𩧁>_<騶>
驢	[驢-驴]<馿𩢉䮫𩧥>
驣	<騰>
驤	[驤-骧]
驥	[驥-骥]<蘎𧁳𩥉𩦸>
驦	[驦-骦]<騻>
驧	<𩣽𩧛>
驨	[驨-𫘱]<𩧎>
驩	[懽讙驩歡↛歡]<𠂄𩦘𩥤>「-觀」_<歓孉𧆒𩿊欢唤>
驪	[驪-骊]<孋𩣫麗黎>
驫	[驫-骉]<𠫑䮶>
马	[馬-马]<碼𢒗𢒠𢒧𩡬>
驭	[馭-驭]<御𩣓𩤳𩤾>
驮	[馱-驮]<駄䭾軑他佗𨈷駝>
驯	[馴-驯]
驰	[馳-驰]<𧂓䮈>
驱	[驅-驱]<駆敺駈𣦑毆𨒡䮃𩢧𩢩𩣕𩣌𩤀𢿛>
驲	[馹-驲]<𨖹𩡲>
驳	[駁-驳]<駮𩣄䮡>
驴	[驢-驴]<馿𩢉䮫𩧥>
驵	[駔-驵]<且>
驶	[駛-驶]<使𩰢𩢲𩣬>
驷	[駟-驷]
驸	[駙-驸]<附𩢇䮛>
驹	[駒-驹]<驕>
驺	[騶-驺]<𩤍𩣿>
驻	[駐-驻]<尌>
驼	[駝-驼]<駞馱𩣾>
驽	[駑-驽]
驾	[駕-驾]<𤙑𩢟>
驿	[驛-驿]<駅墿𩦯>
骀	[駘-骀]<𩦽>
骁	[驍-骁]
骂	[罵-骂]<駡傌䧞嗎𠺎𩡿么吗>
骃	[駰-骃]
骄	[驕-骄]<駒嘐嬌憍䮦𩥊>
骅	[驊-骅]<𩤉𩦰>
骆	[駱-骆]<𢆇𩦼>
骇	[駭-骇]<駴>
骈	[駢-骈]<騈𨵸𩢝𩡼䮁>
骉	[驫-骉]<𠫑䮶>
骊	[驪-骊]<孋𩣫>
骋	[騁-骋]<𩣁𩧢>
验	[驗-验]<験騐𩤼𩥾>
骍	[騂-骍]<𤙡𤛫𩤑𩥍>
骎	[駸-骎]<𩤨𩤿>
骏	[駿-骏]<俊>
骐	[騏-骐]<䭶䭼𩥕騹>
骑	[騎-骑]
骒	[騍-骒]
骓	[騅-骓]
骔	[騌-骔]
骕	[驌-骕]
骖	[驂-骖]
骗	[騙-骗]<𩤬騗>
骘	[騭-骘]<隲𨽥>
骙	[騤-骙]<𩦟>
骚	[騷-骚]<騒>
骛	[騖-骛]<𩤝𩥎𩥦>
骜	[驁-骜]<䮯>
骝	[騮-骝]<駵驑駠𩣒𩥖>
骞	[騫-骞]<𩦊䮿>
骟	[騸-骟]<𠞛扇𩦐>
骠	[驃-骠]<𩦈𩦾𩧙>
骡	[騾-骡]<驘𦝠𦟀𩦻𩥡䯁𩧣>
骢	[驄-骢𩨂]<𩣢𩣭騘>
骣	[驏-骣]
骤	[驟-骤]<駎𩧁>
骥	[驥-骥]<蘎𧁳𩥉𩦸>
骦	[驦-骦]<騻>
骧	[驤-骧]
骩	<骫>
骪	[骪↦骫]
骫	[骪↦骫]<骩𩨖>
骬	<𩨗>
骭	<𧿂䯎𩩃>
骮	<䯆𢎀>
骯	[骯-肮]<𩨺>_<亢>
骰	<股>
骱	<𩨢𩨪>
骴	<𣧨㱴𩨨𩨱髊>_<脊>
骵	<軆体躰體>
骶	<𩨤>
骸	<𡱍䠹䯐𩩏𩩰胲>
骹	<跤踍𨃤𩨟髇>_<校>
骺	<𩩵𩩽>
骻	<胯>
骼	<胳髂>_<格>
骽	[骽⇀腿]<蹆>
骾	[骾鯁↛鯁]<𩩹>
骿	「-胼」
髀	<肶䏶脾䠋䯗𩩚𩩙𩪅𩪖>
髁	<𡱼踝>
髂	<𦝣𨂥䯊𩩱骼>
髄	<髓>_<膸>
髅	[髏-髅]
髆	<拍胉䯙>
髇	<骹𩩉髐>
髈	[髈⇀膀]<𦜅𦜶>
髊	<𩪒𩪳骴>「-磋」
髋	[髖-髋]
髌	[髕-髌]
髍	<䯢>
髎	<𩪚>
髏	[髏-髅]<䫫>
髐	<髇>
髑	<䫳>
髒	[髒臟-脏]<𩪝𩦦>_<臓臧藏>
髓	<膸𦢪𩩜𩪄䯝髄𩪏𩪦𩪷>
體	[體-体]<躰𨉥𨉦軆骵𩪆>「-履」_<笨>
髕	[髕-髌]<臏>_<膑>_<𩪯>
髖	[髖-髋]<臗𦢮>
髗	<顱>_<鸕>
高	[髙↦高]<昂𠆪𦕺皋膏郊皜>
髙	[髙↦高]<𠆪𦕺>
髞	<𩫦>
髠	<髡>
髡	<𡧉𨱤䪲髠髨𩬌𩭋>
髢	<鬄>
髣	[彷髣倣仿↛仿]<㑂㧍眆𩬝方>
髤	<䰍髹>_<𨋰>
髥	[髥⇀髯]_<𩓾>
髦	<𨱞𨱢𩫷髳𩭾牦>「-旄-耄」_<毛>
髧	<𠆶>_<紞>
髨	<髡>
髩	<鬢>_<鬂>
髪	<髮发>
髫	<齠>
髬	<䯱𩬴𩯃>
髭	<𨱲𨲝𨲦𩑽頾頿>
髮	[發髮-发]<髪𤕥㛲𡞝𤠁𨱳𩑛𩑱𩠕𩠙𩠖𩬇𩬃𩬊𩬕䰋発𤼦𤼲𤼵>
髯	[髥⇀髯]<𣬭𣱄𩑞𩑺𩒹䫇𩓾𩓿>
髰	<剃鬄>
髲	<𩬈>
髳	<䟥髦䰆>_<𨱨𩭾>
髴	[髴⇀彿佛↛佛]<𠔘𢘍𨱰仏仸𠇛𠑵㚕𡘉𡗻𦤲弼>
髵	<而>
髶	<𩮙>
髸	<𩬰>
髹	<髤>_<䰍>
髺	<𩬁䯺鬠>
髻	<𣯦結䦇𨲡>
髼	<𩭉鬅鬔>
髽	<𩭃𩮢>
鬀	[鬀⇀薙剃↛剃]<剔𨲙髰鬄𩮜>
鬂	<鬢>_<髩>
鬃	[騌鬉⇀騣鬃↛鬃]<從𣮤𥪗>
鬄	<髢髰𩬲剃>「-剔」
鬅	<髼>
鬆	[鬆松-松]<䯳𩮀䰌梥枩柗庺枀㮤>
鬇	<𨲌𩫿𩬓𩬒𩯎𩯩𩰅>
鬈	<𨲏𩭨>
鬉	[騌鬉⇀騣鬃↛鬃]<𨲃𨲇𨲔𩯣從𣮤𥪗鍐𩮀𩦲骔>
鬊	<巛𩭱𩯐>
鬋	<𩮣剪>_<翦>
鬌	<𨲉𨲕𩭦𩯚>
鬍	[胡鬍衚-胡]<𣬣瑚𠴱㗅𩑶>
鬐	<𨲘䰇𩥂鰭>
鬒	<㐱>_<鬒>
鬓	[鬢-鬓]
鬔	<髼>
鬘	<𨲛𨲩𨲾䯶𩭈𩮉𩮒𩮺𩯠𩦧>
鬚	[須鬚-须]<䰅䰑需䇓𩓣>
鬛	<鬣>
鬜	<顅䫘𩭠鬝>
鬝	<鬜>
鬞	<𣰊𩯾>
鬟	<𩯙環>_<𩯴>
鬠	[鬠-𫘽]<䯤髺>
鬡	<𨲸鬤>
鬢	[鬢-鬓]<髩鬂𨲺𩬆>_<𩯫𩯭>
鬣	<㲱𣰫䝓𨲲𩮓𩮮鬛𩯝𩯻𩰇>
鬤	<𣰶𨳃鬡>
鬥	[鬦鬪鬭⇀鬥‒鬥斗-斗]
鬦	[鬦鬪鬭⇀鬥]<闘>
鬧	[閙⇀鬧-闹]<𠆴𠇰𠅈𡗚𢂂>
鬨	[閧⇀鬨哄`↛哄]<巷闀闂𩰓叿𠹅𠹒>
鬩	[鬩-阋]<𧨃䦧𩰕>
鬪	[鬦鬪鬭⇀鬥]<闘>_「鬬」
鬫	<闞>
鬬	<鬭>
鬭	[鬦鬪鬭⇀鬥]<闘鬬𧯞閗𨴜𨶜𨷵𩰑𩰒𩰖斗枓𣁬𠦁𤣫𣂑㪷陡>_「*逗」_<𨷖>
鬮	[鬮-阄]<𨵜𨷺䰗>_<䦰>
鬯	<𥠴>「-暢-韔」
鬰	[鬰欝⇀鬱]
鬱	[鬰欝⇀鬱‒鬱郁-郁]<𩰪𦉚𣡇𣡸䖇𩏴𨚼𨟝>
鬲	<㽁䰜鎘𨬑鑠𨯱䥶䰛𩰲鬴𩱇𩱔軛>「-厄-搹-槅-膈-隔」_<歷>
鬴	<釜鬲>
鬵	<𩱠𢑋𩰿>「甑」
鬶	[鬹-鬶]
鬷	<𩰷𩰼𩰽𩱅𩱛>「-奏-總」
鬸	<餾>
鬹	[鬹-鬶]「-鑴」
鬺	<𩰱𩱐>
鬻	<俼粥㣃𢑎𩱙>「-育」_<𥺞>
鬼	<𢇼𣆠𩲡𤱲𩲚𩲞𩳉𩳹𩴿>
鬽	<魅>
鬾	<𩳣>
鬿	{魁}
魁	<櫆𩲅𩲙𩲔𩳭>_「-塊」
魂	[䰟⇀魂]<𠇌>
魃	<𧺺>
魄	<𣍸𥙃𩲸霸粕>
魅	<𠃁𢑙𢑘𣼙𥘯𧱋𩲀𩲈鬽𩲉𩱿𩲑𩲝𩲐𩲢𩲿𩳟𩳪䰨𩴎䰪>_<𣷛𢑛𤲄>
魇	[魘-魇]
魉	[魎-魉]
魊	<䰥>
魋	「*頹-椎-堆」
魌	<䫏>
魍	<𧈿蛧蝄𩲛䰣>
魎	[魎-魉]<蜽𩳮>
魏	<巍>
魑	<离䄜螭𩱹𩲶𩳀𩳦𩳩𩴭𩗨𩘉䬜>
魕	<𩴪>
魖	<𥛳𧴆𩴛>
魗	<𣤫𩳺丑𣀓>
魘	[魘-魇]<厭㱘>
魙	<𩴕>
魚	[魚-鱼]<䏸䐳𤉯𤋳𥆐䁩𩥭𩵋𩺰漁>
魛	[魛-鱽]
魝	<𠟮>
魟	[魟-𫚉]<䱋>
魡	<𦉹釣>
魢	[魢-鱾]
魣	<鱮>
魤	<𩵡𩵏>
魥	[魥-𩽹]
魦	[魦-𫚌]<𩵮𩸌𩺳鯊鮻>
魧	<蚢>_<𩵸>
魨	[魨-鲀]
魪	<䰺䱄>
魫	<𩵫𩵨>
魭	<𩵶黿>_「輐」
魮	<𩹻>
魯	[魯-鲁]<旅𢻛𣥐鹵>_<𩶑>
魱	<𩵯鱯>
魲	<鱸>
魳	<鰤>
魴	[魴-鲂]<𩷸鰟>
魵	[魵-𫚍]<𩸂>
魶	<鰨𩹾>
魷	[魷-鱿]
魺	[魺-鲄]
魼	<鱋鰈>
魽	[魽-𫠐]<蚶>
魾	<𩶨>
魿	<鱗>
鮀	<𩵔䰿𩷿𩸻>
鮁	[鮁-鲅]<䰾>
鮃	[鮃-鲆]{魾}
鮄	[鮄-𫚒]
鮅	[鮅-𫚑]<𩺷>
鮆	[鮆-𫚖]<𩶆鱭>_<啙>
鮇	<寐𥧙>
鮉	<鯛>
鮊	[鮊-鲌]<𩸊𩹏>
鮋	[鮋-鲉]<鯈>
鮌	<鯀>
鮍	[鮍-鲏]<𩸉>
鮎	[鮎~鯰-鲶‒鮎-鲇]
鮏	<鯹>
鮐	[鮐-鲐]<台胎>
鮑	[鮑-鲍]<蚫>「-鞄」
鮒	[鮒-鲋]<𩷺𩸅>
鮓	[鮓-鲊]<蚱𩼻鮺䱹𩺃𩻢𩼮𩼫𩽟𩽫>
鮕	[鮕-𩾀]
鮙	<鰨>
鮚	[鮚-鲒]<𩷻>
鮛	<䱙>
鮜	[鮜-鲘]
鮝	[鮝↝鯗]<鲞𩺁鱶鰧>「-鮓」
鮞	[鮞-鲕]
鮟	[鮟-𩽾]{鰋}
鮡	<𩹣>_<𩸼>
鮣	[鮣-䲟]
鮤	[鮤-𫚓]<𩶽𩹒>
鮥	<𩹿>
鮦	[鮦-鲖]<𩻡>
鮧	<鮷>「鯷」
鮨	<𩷾鰭>
鮩	<𩹁>
鮪	[鮪-鲔]
鮫	[鮫-鲛]<𩊔蛟>
鮬	<𩶮>
鮭	[鮭-鲑]「觟」
鮮	[尠鱻⇀尟鮮↛鮮-鲜]<仙赻>「-獻-鱓-巘-斯」
鮯	[鮯-𫚗]
鮰	[鮰-𫚔]
鮳	[鮳-鲓]
鮵	[鮵-𫚛]
鮶	[鮶-鲪]
鮷	<鮧鯷>
鮸	[鮸-𩾃]
鮺	[鮺-鲝]<鮓>_<𩻢>
鮻	<魦>_<𩵮𩸌𩺳鯊>
鮾	<脮腇鯘>「餒」
鮿	[鮿-𫚚]
鯀	[鯀-鲧]<𧣙𩩌鮌鰥>
鯁	[骾鯁↛鯁-鲠]<𦛟𩹐>「-哽」_<硬鞕>
鯂	<穌>
鯃	<𩶭>
鯄	[鯄-𩾁]<𩵍>
鯆	[鯆-𫚙]<𩹲𩺼>
鯇	[鯇-鲩]<𩸩鰀鯶>
鯈	<儵鮋䱔>
鯉	[鯉-鲤]<𩼞𩼆>
鯊	[鯊-鲨]<魦鯋>
鯋	<鯊>「鲨」
鯍	<𩶡>
鯒	[鯒-鲬]
鯔	[鯔-鲻]<𩞮𩺅𩻨>
鯕	[鯕-鲯]<𩵧>
鯖	[鯖-鲭]<𦙫>
鯗	[鮝↝鯗-鲞]<鱶𩺁>
鯘	<鮾>_<脮腇>
鯛	[鯛-鲷]<鮉>
鯜	<鰈>
鯝	[鯝-鲴]
鯞	[鯞-𫚡]
鯡	[鯡-鲱]<𩹉>
鯢	[鯢-鲵]「-兒」(齯)
鯤	[鯤-鲲]<卵𡖉鰥𩻋𩽞>
鯦	<𩶧鰽>
鯧	[鯧-鲳]<䱽>
鯨	[鯨-鲸]<𩼃䲔>「-擎」_<京>
鯪	[鯪-鲮]
鯫	[鯫-鲰]
鯬	[鯬-𫚞]<䱘𩸢𩺸𩻳𩼽>
鯯	<䱥>
鯰	[鮎~鯰-鲶]
鯱	[鯱-𩾇]
鯴	[鯴-鲺]
鯵	<鰺>
鯶	[鯶-𩽼]<鯇>
鯷	[鯷-鳀]<鮷>_<鮧>
鯸	<𩺟>
鯹	<鮏>
鯺	<蠩>
鯻	<䱫>
鯽	[鯽-鲫]<𩺀鰿𩼚𩼿鰂>
鯾	[鯾-𫚣]<鯿>
鯿	[鯿-鳊]<𩺂鯾𩼧>
鰀	<鯇>「鲩」
鰁	[鰁-鳈]
鰂	[鰂-鲗]<䰹鯽鱡>
鰃	[鰃-鳂]
鰆	[鰆-䲠]
鰈	[鰈-鲽]<魼𩸏鰨𩻵鯜>
鰉	[鰉-鳇]<鱑>
鰋	[鰋-𫚢]<𩷑𩹽>
鰌	[鰌-䲡]<鰍>「-遒」_<䠓>
鰍	[鰍-鳅]<𩹤鰌鱃>
鰎	<𩻥>
鰏	[鰏-鲾]
鰐	[`鱷⇋鰐]<𧊜𧍞𩻙鳄>
鰑	[鰑-𫚊]
鰒	[鰒-鳆]<𩺽>
鰓	[鰓-鳃]「-葸」
鰔	<鰜鱤>
鰕	[鰕-𫚥]<蝦>
鰖	<䲊>
鰙	「-篛」
鰛	[鰛↝鰮]<鳁>
鰜	[鰜-鳒]<鰔>
鰟	[鰟-鳑]<魴>
鰠	[鰠-鳋]<𩷃>
鰡	<䱖𩺜>
鰣	[鰣-鲥]<𩶬>
鰤	[鰤-𫚕]<魳>
鰥	[鰥-鳏]<鱞𥉀瘝鯀鯤𣎕矜𥎅𧤩䚪𩶊𩹌𩻲𩻴>
鰦	[鰦-𫚤]
鰧	[鰧-䲢]<䲍鮝𩺭>
鰨	[鰨-鳎]<鮙魶鰈>
鰩	[鰩-鳐]
鰪	<𩺻>
鰫	[鰫-𫚦]<鱅>
鰭	[鰭-鳍]<䱈鬐鮨>
鰮	[鰛↝鰮-鳁]
鰱	[鰱-鲢]
鰲	[鼇鰲↛鰲-鳌]<𩼡𪓴𪓶𪓾>
鰳	[鰳-鳓]
鰵	[鰵-鳘]<䲄>
鰶	<䱥>
鰷	[鰷-鲦]<𩵌䱔>
鰹	[鰹-鲣]
鰺	[鰺-鲹]<𩹧䱗鱢>_<鯵>
鰻	[鰻-鳗]<𩺴𩻠>
鰼	[鰼-鳛]
鰽	[鰽-𫚧]<鯦>
鰾	[鰾-鳔]<𩼾𩽯>
鰿	<𩼜鯽>
鱀	<𩵪𩷱𩺺>
鱂	[鱂-鳉]「鯧」
鱃	<鰍>
鱄	[鱄-𫚋]<𧐕>
鱅	[鱅-鳙]<鰫>
鱆	[鱆-𫠒]
鱇	[鱇-𩾌]
鱈	[鱈-鳕]
鱉	[鼈⇀鱉-鳖]<蟞𪔀龞>「*憋*癟」
鱊	[鱊-𫚪]
鱋	<魼>
鱍	<𩸿>
鱎	<𩺙>
鱏	<𩽶>
鱑	<鰉>
鱒	[鱒-鳟]
鱓	[鱓⇀鱔]<鼉>「-蟬」
鱔	[鱓⇀鱔-鳝]<蟮蟺䱇鱣>
鱖	[鱖-鳜]<鱥>
鱗	[鱗-鳞]<魿𩻜𩼩>_<麟>
鱘	[鱘-鲟]_<鱏>
鱚	「熹」
鱝	[鱝-鲼]<𩸂>
鱞	<鰥>
鱟	[鱟-鲎]
鱠	[鱠膾↛膾‒鱠-鲙]<脍>
鱡	<鰂>
鱢	[鱢-𫚫]<鰺𩻦>
鱣	[鱣-鳣]<𧖞䱳𩼼𩽱鱔>
鱤	[鱤-鳡]<鰔𩹸>
鱥	<鱖>
鱦	<䱆𩷼𩻷>
鱧	[鱧-鳢]<鱺>
鱨	[鱨-鲿]<𩼝>
鱪	<鱰>
鱬	<𩻞>
鱭	[鱭-鲚]<鮆>
鱮	[鱮-𫚈]<魣>
鱯	[鱯-鳠]<魱𩽕>
鱰	<鱪>
鱲	[鱲-𫚭]
鱳	<𩺮𩹺>
鱴	<𩽣>_「-鮇」
鱵	<𩼘>
鱶	<鮝>「鯗」
鱷	[`鱷⇋鰐‒鱷-鳄]
鱸	[鱸-鲈]<魲𩽬>
鱺	[鱺-鲡]<鱧>
鱻	[尠鱻⇀尟鮮↛鮮]
鱼	[魚-鱼]<漁䏸䐳𤉯𤋳𥆐䁩𩥭𩵋𩺰>
鱽	[魛-鱽]
鱾	[魢-鱾]
鱿	[魷-鱿]
鲀	[魨-鲀]
鲁	[魯-鲁]<旅𢻛𣥐>
鲂	[魴-鲂]<𩷸鰟>
鲃	[䰾-鲃]<𩵒鮁>
鲄	[魺-鲄]
鲅	[鮁-鲅]<䰾>
鲆	[鮃-鲆]
鲇	[鮎-鲇]<鯰>
鲈	[鱸-鲈]<魲𩽬>
鲉	[鮋-鲉]<鯈>
鲊	[鮓-鲊]<蚱𩼻鮺䱹𩺃𩻢𩼮𩼫𩽟𩽫>
鲋	[鮒-鲋]<𩷺𩸅>
鲌	[鮊-鲌]<𩸊𩹏>
鲍	[鮑-鲍]<蚫>
鲎	[鱟-鲎]
鲏	[鮍-鲏]<𩸉>
鲐	[鮐-鲐]<台>
鲑	[鮭-鲑]
鲒	[鮚-鲒]<𩷻>
鲓	[鮳-鲓]
鲔	[鮪-鲔]
鲕	[鮞-鲕]
鲖	[鮦-鲖]<𩻡>
鲗	[鰂-鲗]<䰹鯽鱡>
鲘	[鮜-鲘]
鲙	[鱠-鲙]<膾脍䭝>
鲚	[鱭-鲚]<鮆>
鲛	[鮫-鲛]<蛟𩊔>
鲜	[鮮-鲜]<尠鱻尟仙赻>
鲝	[鮺-鲝]<鮓>
鲞	[鯗-鲞]<鮝鱶鰧𩺁>
鲟	[鱘-鲟]
鲠	[鯁-鲠]<骾𦛟𩹐𩩹>
鲡	[鱺-鲡]<鱧>
鲢	[鰱-鲢]
鲣	[鰹-鲣]
鲤	[鯉-鲤]<𩼞𩼆>
鲥	[鰣-鲥]<𩶬>
鲦	[鰷-鲦]<𩵌䱔>
鲧	[鯀-鲧]<𧣙𩩌鮌鰥>
鲨	[鯊-鲨]<魦鯋>
鲩	[鯇-鲩]<鰀𩸩鯶>
鲪	[鮶-鲪]
鲫	[鯽-鲫]<𩺀鰿𩼚𩼿鰂>
鲬	[鯒-鲬]
鲭	[鯖-鲭]<𦙫>
鲮	[鯪-鲮]
鲯	[鯕-鲯]<𩵧>
鲰	[鯫-鲰]
鲱	[鯡-鲱]<𩹉>
鲲	[鯤-鲲]<卵𡖉鰥𩻋𩽞>
鲳	[鯧-鲳]<䱽>
鲴	[鯝-鲴]
鲵	[鯢-鲵]
鲶	[鮎~鯰-鲶]
鲷	[鯛-鲷]<鮉>
鲸	[鯨-鲸]<𩼃䲔>
鲹	[鰺-鲹]<鯵䱗𩹧鱢>
鲺	[鯴-鲺]
鲻	[鯔-鲻]<𩞮𩺅𩻨>
鲼	[鱝-鲼]<𩸂>
鲽	[鰈-鲽]
鲾	[鰏-鲾]
鲿	[鱨-鲿]<𩼝>
鳀	[鯷-鳀]<鮧鮷>
鳁	[鰮-鳁]<鰛>
鳂	[鰃-鳂]
鳃	[鰓-鳃]
鳄	[鱷-鳄]<鰐𧊜𧍞𩻙>
鳅	[鰍-鳅]<𩹤鰌鱃>
鳆	[鰒-鳆]<𩺽>
鳇	[鰉-鳇]<鱑>
鳈	[鰁-鳈]
鳉	[鱂-鳉]
鳊	[鯿-鳊]<𩺂鯾𩼧>
鳋	[鰠-鳋]<𩷃>
鳌	[鰲-鳌]_<鼇>
鳍	[鰭-鳍]<鮨䱈鬐>
鳎	[鰨-鳎]<鰈魶鮙鯜魼𩸏𩻵鲽>
鳏	[鰥-鳏]<鱞𥉀瘝鯀鯤𣎕矜𥎅𧤩䚪𩶊𩹌𩻲𩻴>
鳐	[鰩-鳐]
鳑	[鰟-鳑]<魴>
鳒	[鰜-鳒]<鰔>
鳓	[鰳-鳓]
鳔	[鰾-鳔]<𩼾𩽯>
鳕	[鱈-鳕]
鳖	[鱉-鳖]_<鼈>
鳗	[鰻-鳗]<𩺴𩻠>
鳘	[鰵-鳘]<䲄>
鳙	[鱅-鳙]<鰫>
鳚	[䲁-鳚]<𩻍>
鳛	[鰼-鳛]
鳜	[鱖-鳜]<鱥>
鳝	[鱔-鳝]<鱓蟮蟺䱇鱣鼉蟬>
鳞	[鱗-鳞]<魿𩻜𩼩>
鳟	[鱒-鳟]
鳠	[鱯-鳠]<魱𩽕>
鳡	[鱤-鳡]<鰔𩹸>
鳢	[鱧-鳢]<鱺>
鳣	[鱣-鳣]<鱔𧖞䱳𩼼𩽱>
鳤	[䲘-鳤]
鳥	[鳥-鸟]<島𩾑𪈼歍>_「屌」
鳦	<乙𠃉>_<𩾐>
鳧	[鳬↝鳧-凫]_<𩾖>
鳨	<𩾜>
鳩	[鳩-鸠]<勼䧱𩾛䲥𪀏九究豸解咎>
鳪	<𨾇>
鳫	<雁鴈>
鳬	[鳬↝鳧]<𠒎𣹋凫>
鳭	<𩾗>
鳮	[鳮↦鸡]
鳯	<鳳>
鳱	<䧲𩾝鴈>
鳲	[鳲-鸤]<𨾋𨾈䲩>
鳳	[鳳-凤]<鳯𠤈𧱶鴌鵬𪆍>_<𢐴𪈵>
鳴	[鳴-鸣]<明>
鳵	<鴇>
鳶	[鳶-鸢]<𩾢𩾭䲻䳒𪀝䳣𪃘>
鳷	[鳷-𫛛]<翅>
鳸	<𩿇>_<雇>
鳹	<鵭雂>
鳺	<𨾚>
鳻	<𠝷𩿉𪂽>_<𩿈>
鳼	[鳼-𪉃]<𣁓鴍>
鳽	[鳽-𫛚]<雃鸇>_<鳽>
鳾	[鳾-䴓]<鶳>
鴀	[鴀-𫛜]
鴁	<𪁾>
鴂	<𨾕鴃䳏𪁠>_<鶪>
鴃	[鴃-𫛞]<鴂>_「鶪」
鴄	<匹>{鵯}
鴅	[鴅-𫛝]{鵃}
鴆	[酖鴆↛鴆-鸩]<䧵𩾺䲴䳉𪀩>
鴇	[鴇-鸨]<駂𨾐𨾙鳵䳈𪀀𪁣䳰𪃁>
鴈	[鴈雁↛雁]<鳫贋𤻉𩾝鳱𩾦𩾸𪂢𩿫>
鴉	[鵶⇀鴉-鸦]<雅𪀹𪀨>
鴊	<𨾖>
鴋	<𪁢鶭>_<䲱>
鴌	<鳳>
鴍	<鳼>
鴎	[鴎↦鸥]<鷗>
鴐	[鴐-𫛤]<鴚>
鴑	<鴽>_<𨾯>
鴒	[鴒-鸰]<𩁎䴇𪈝䴒>
鴓	<𪆮>
鴔	[鴔-𫛡]<𩾳𪀐𪃃>
鴕	[鴕-鸵]<𪂊>
鴖	<𪆨𪂆>
鴗	[鴗-𫁡]
鴙	<雉>{鶻}
鴚	<𪀉𪀁鴐𪃿>
鴛	[鴛-鸳]<𡖅夗鵷>
鴜	[鴜-𪉈]<雌>_<䳄>
鴝	[鴝-鸲]<鸜雊𩿃𩿩𪁖>_<𪀊>
鴞	[鴞-鸮]「-梟」
鴟	[鴟-鸱]<𨾦𨾽殦𩿒䲭𩿨鵄𪂑>_<𩿍>
鴠	<蛋>
鴡	<𪂓>
鴢	<𩾮𪀂>
鴣	[鴣-鸪]<䧸>
鴥	[鴥-𫛣]<鴪鴧>
鴦	[鴦-鸯]
鴧	<鴥>
鴨	[鴨-鸭]<𪀋𪀌𩿼𪁗𪁨>
鴩	<䳀>
鴪	<鴥>
鴬	<鶯>
鴭	「鵻」
鴮	[鴮-𫛦]<𨾺>
鴯	[鴯-鸸]<𨾿>
鴰	[鴰-鸹]<𪁝>
鴱	<𨿆𩾘>
鴲	[鴲-𪉆]
鴳	[鴳-𫛩]<鷃𨾶䳛䳡>
鴴	[鴴-鸻]
鴵	<梟>
鴷	[鴷-䴕]<𨾸>
鴸	<𨾲>
鴹	<翔>
鴺	<鵜>_<𪁩>
鴻	[鴻-鸿]<𨾊䲨𩾯𪅯傭紅葒蠪>_「-洪」
鴼	<鷺>
鴽	[鴽-𫛪]<𨾯𨾵鴑>
鴿	[鴿-鸽]<䧻>
鵀	<𨿂𪀼>
鵁	[鵁-䴔]<𩾾𪁉>
鵂	[鵂-鸺]<𩾹𪀪>_<舊>
鵃	[鵃-鸼]
鵄	<鴟>
鵅	<𪃕>
鵉	[鵉↦鸾]
鵊	[鵊-𫛥]
鵋	<𪄵>
鵌	<䳜鷋𪄫>
鵍	<鸛>
鵏	<𨿌𪁭>
鵐	[鵐-鹀]<𪂐>
鵑	[鵑-鹃]<𨿔䳌>
鵒	[鵒-鹆]<𨾳𨿜𪃪>_<𩀑>
鵓	[鵓-鹁]
鵔	<𨿓鵕>
鵕	<鵔>
鵗	<𨿛>
鵙	<𨿎𩀎鶪>
鵚	[鵚-𪉍]<𨿖>
鵛	<𨿋頸>
鵜	[鵜-鹈]<鴺𪁩鷉>
鵝	[鵞䳘⇀鵝-鹅]<𨿍䳗>
鵞	[鵞䳘⇀鵝]
鵟	[鵟-𫛭]<𨿗>
鵠	[鵠-鹄]<䧼鶴浩>
鵡	[鵡-鹉]<𨾥䳇>
鵣	<𪀦>
鵧	[鵧-𫛨]
鵨	<𪅰>
鵩	[鵩-𫛳]<𪀢>
鵪	[鵪-鹌]<𩀂䨄𪁟𪂻𪃬鶕䳺𪈍>_「鴨」
鵫	[鵫-𫛱]<𨿧>_「鸐」
鵬	[鵬-鹏]<鳳𩿾𪈵>
鵭	<鳹>
鵮	[鵮-鹐]<𢽣㪠𪅎>
鵯	[鵯-鹎]<𨿵𪂃>
